A&W Revenue Royalties Income Fund | AW.UN | Volume: 9475 | Value: 32.03 | Open: 32.19 | High: 32.21 | SharesOut.: 12504673 | Beta: 0.833 | Prev.Close: 31.98 | Low: 31.90 | MarketCap: 400524676 | VWAP: 32.005795 | Dividend: 0.138CAD | Div.Frequency: Monthly | P/ERatio: 17.600 | EPS: 1.820000 | Yield: 5.170 | Ex-DivDate: 05/14/2018 | P/BRatio: 3.694 | Exchange: TSX | 
Aberdeen Asia-Pacific Income Investment Company Limited | FAP | Volume: 33813 | Value: 3.96 | Open: 3.97 | High: 3.98 | SharesOut.: 51402616 | Beta: 0.334 | Prev.Close: 3.92 | Low: 3.95 | MarketCap: 203554359 | VWAP: 3.965923 | Dividend: 0.033CAD | Div.Frequency: Monthly | P/ERatio: 106.800 | EPS: 0.040000 | Yield: 9.848 | Ex-DivDate: 06/20/2018 | P/BRatio: 0.764 | Exchange: TSX | 
Aberdeen International Inc. | AAB | Volume: 43944 | Value: 0.125 | Open: 0.135 | High: 0.135 | SharesOut.: 96052282 | Beta: 1.732 | Prev.Close: 0.13 | Low: 0.125 | MarketCap: 12006535 | VWAP: 0.128276 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 1.300 | EPS: 0.100000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.284 | Exchange: TSX | 
Absolute Software Corporation | ABT | Volume: 26045 | Value: 6.98 | Open: 7.16 | High: 7.17 | SharesOut.: 40193660 | Beta: 1.035 | Prev.Close: 7.14 | Low: 6.94 | MarketCap: 280551747 | VWAP: 7.038577 | Dividend: 0.080CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.090000 | Yield: 4.585 | Ex-DivDate: 05/07/2018 | P/BRatio: -3.674 | Exchange: TSX | 
Acadian Timber Corp. | ADN | Volume: 10983 | Value: 19.82 | Open: 19.82 | High: 19.89 | SharesOut.: 16731216 | Beta: 0.335 | Prev.Close: 19.80 | Low: 19.79 | MarketCap: 331612701 | VWAP: 19.844495 | Dividend: 0.283CAD | Div.Frequency: Quarterly | P/ERatio: 11.800 | EPS: 1.680000 | Yield: 5.701 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.198 | Exchange: TSX | 
Acasta Enterprises Inc. | AEF | Volume: 55600 | Value: 1.50 | Open: 1.45 | High: 1.50 | SharesOut.: 70215298 | Beta: 4.060 | Prev.Close: 1.45 | Low: 1.45 | MarketCap: 105322947 | VWAP: 1.498004 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -2.570000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.284 | Exchange: TSX | 
Accord Financial Corp. | ACD | Volume: 100 | Value: 9.23 | Open: 9.23 | High: 9.23 | SharesOut.: 8307713 | Beta: 0.607 | Prev.Close: 9.15 | Low: 9.23 | MarketCap: 76680191 | VWAP: 9.23 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: 12.700 | EPS: 0.720000 | Yield: 3.900 | Ex-DivDate: 05/16/2018 | P/BRatio: 0.984 | Exchange: TSX | 
Acerus Pharmaceuticals Corporation | ASP | Volume: 421500 | Value: 0.255 | Open: 0.27 | High: 0.27 | SharesOut.: 213193642 | Beta: 0.341 | Prev.Close: 0.25 | Low: 0.245 | MarketCap: 54364379 | VWAP: 0.255047 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.060000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 4.250 | Exchange: TSX | 
ADF Group Inc. | DRX | Volume: 5200 | Value: 1.60 | Open: 1.66 | High: 1.66 | SharesOut.: 18292099 | Beta: 0.493 | Prev.Close: 1.65 | Low: 1.60 | MarketCap: 29267358 | VWAP: 1.649615 | Dividend: 0.010CAD | Div.Frequency: Semi-Annual | P/ERatio: N/A | EPS: -0.220000 | Yield: 1.250 | Ex-DivDate: 04/27/2018 | P/BRatio: 0.544 | Exchange: TSX | 
Advantage Oil & Gas Ltd. | AAV | Volume: 1075266 | Value: 4.30 | Open: 4.20 | High: 4.35 | SharesOut.: 186202977 | Beta: 1.557 | Prev.Close: 4.17 | Low: 4.16 | MarketCap: 800672801 | VWAP: 4.277383 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 12.600 | EPS: 0.330000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.605 | Exchange: TSX | 
Advantaged Canadian High Yield Bond Fund | AHY.UN | Volume: 0 | Value: 7.94 | Open: N/A | High: N/A | SharesOut.: 2511348 | Beta: 0.244 | Prev.Close: 7.94 | Low: N/A | MarketCap: 19940103 | VWAP: N/A | Dividend: 0.098CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: 1.030000 | Yield: 4.912 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
