AirBoss of America Corp. | BOS | Volume: 6249 | Value: 15.32 | Open: 15.26 | High: 15.42 | SharesOut.: 23418182 | Beta: -0.079 | Prev.Close: 15.26 | Low: 15.25 | MarketCap: 358766548 | VWAP: 15.345574 | Dividend: 0.070CAD | Div.Frequency: Quarterly | P/ERatio: 20.900 | EPS: 0.710000 | Yield: 1.828 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.246 | Exchange: TSX | 
B2Gold Corp. | BTO | Volume: 1497633 | Value: 3.41 | Open: 3.38 | High: 3.43 | SharesOut.: 984109857 | Beta: 2.685 | Prev.Close: 3.39 | Low: 3.37 | MarketCap: 3355814612 | VWAP: 3.400472 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 22.200 | EPS: 0.170000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.564 | Exchange: TSX | 
Badger Daylighting Ltd. | BAD | Volume: 109443 | Value: 32.10 | Open: 32.44 | High: 32.54 | SharesOut.: 37100681 | Beta: 1.334 | Prev.Close: 32.31 | Low: 32.065 | MarketCap: 1190931860 | VWAP: 32.232275 | Dividend: 0.045CAD | Div.Frequency: Monthly | P/ERatio: 17.000 | EPS: 1.130000 | Yield: 1.682 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.639 | Exchange: TSX | 
Ballard Power Systems Inc. | BLDP | Volume: 134292 | Value: 3.56 | Open: 3.58 | High: 3.67 | SharesOut.: 178713045 | Beta: 2.906 | Prev.Close: 3.60 | Low: 3.44 | MarketCap: 636218440 | VWAP: 3.534529 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.080000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 4.140 | Exchange: TSX | 
Balmoral Resources Ltd. | BAR | Volume: 163900 | Value: 0.19 | Open: 0.195 | High: 0.20 | SharesOut.: 138510776 | Beta: 2.865 | Prev.Close: 0.20 | Low: 0.19 | MarketCap: 26317047 | VWAP: 0.193028 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.432 | Exchange: TSX | 
Bank of Montreal | BMO | Volume: 1402206 | Value: 101.85 | Open: 102.01 | High: 102.43 | SharesOut.: 640634093 | Beta: 0.975 | Prev.Close: 101.91 | Low: 101.58 | MarketCap: 65248582372 | VWAP: 101.952092 | Dividend: 0.960CAD | Div.Frequency: Quarterly | P/ERatio: 14.200 | EPS: 7.170000 | Yield: 3.770 | Ex-DivDate: 07/31/2018 | P/BRatio: 1.652 | Exchange: TSX | 
Bank of Nova Scotia (The) | BNS | Volume: 2423796 | Value: 75.62 | Open: 76.01 | High: 76.10 | SharesOut.: 1232358053 | Beta: 1.275 | Prev.Close: 75.72 | Low: 75.58 | MarketCap: 93190915968 | VWAP: 75.743138 | Dividend: 0.820CAD | Div.Frequency: Quarterly | P/ERatio: 10.900 | EPS: 6.920000 | Yield: 4.337 | Ex-DivDate: 06/29/2018 | P/BRatio: 1.628 | Exchange: TSX | 
Barclays Bank PLC Fixed Income Notes | BXS.DB.C | Volume: 0 | Value: 103.00 | Open: N/A | High: N/A | SharesOut.: 100000 | Beta: -0.183 | Prev.Close: 103.00 | Low: N/A | MarketCap: 10300000 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Barrick Gold Corporation | ABX | Volume: 1773387 | Value: 17.00 | Open: 16.93 | High: 17.04 | SharesOut.: 1166902835 | Beta: 1.721 | Prev.Close: 16.95 | Low: 16.85 | MarketCap: 19837348195 | VWAP: 16.965637 | Dividend: 0.030USD | Div.Frequency: Quarterly | P/ERatio: 16.000 | EPS: 1.010000 | Yield: 0.894 | Ex-DivDate: 11/29/2017 | P/BRatio: 1.574 | Exchange: TSX | 
Baylin Technologies Inc. | BYL | Volume: 39230 | Value: 3.42 | Open: 3.50 | High: 3.50 | SharesOut.: 31207357 | Beta: 0.224 | Prev.Close: 3.44 | Low: 3.32 | MarketCap: 106729161 | VWAP: 3.371122 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.230000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.849 | Exchange: TSX | 
Baytex Energy Corp. | BTE | Volume: 11260619 | Value: 4.45 | Open: 4.48 | High: 4.52 | SharesOut.: 236578111 | Beta: 4.855 | Prev.Close: 4.38 | Low: 4.43 | MarketCap: 1052772594 | VWAP: 4.469065 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 87.600 | EPS: 0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.282 | Exchange: TSX | 
BCE Inc. | BCE | Volume: 1190865 | Value: 53.93 | Open: 54.00 | High: 54.07 | SharesOut.: 897978996 | Beta: 0.100 | Prev.Close: 53.92 | Low: 53.86 | MarketCap: 48428007254 | VWAP: 53.956405 | Dividend: 0.755CAD | Div.Frequency: Quarterly | P/ERatio: 17.600 | EPS: 3.120000 | Yield: 5.600 | Ex-DivDate: 06/14/2018 | P/BRatio: 3.030 | Exchange: TSX | 
Becker Milk Company Ltd. (The) | BEK.B | Volume: 1700 | Value: 14.80 | Open: 14.82 | High: 14.82 | SharesOut.: 1267610 | Beta: 0.915 | Prev.Close: 14.80 | Low: 14.80 | MarketCap: 18760628 | VWAP: 14.806471 | Dividend: 0.400CAD | Div.Frequency: Semi-Annual | P/ERatio: 8.900 | EPS: 1.670000 | Yield: 5.405 | Ex-DivDate: 03/21/2018 | P/BRatio: 0.800 | Exchange: TSX | 
Bellatrix Exploration Ltd. | BXE | Volume: 616635 | Value: 1.30 | Open: 1.34 | High: 1.34 | SharesOut.: 61676593 | Beta: 2.876 | Prev.Close: 1.32 | Low: 1.29 | MarketCap: 80179571 | VWAP: 1.307287 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -2.370000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.096 | Exchange: TSX | 
BELLUS Health Inc. | BLU | Volume: 65000 | Value: 0.55 | Open: 0.55 | High: 0.56 | SharesOut.: 119497581 | Beta: 2.495 | Prev.Close: 0.57 | Low: 0.52 | MarketCap: 65723670 | VWAP: 0.534923 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.619 | Exchange: TSX | 
Belo Sun Mining Corp. | BSX | Volume: 61276 | Value: 0.22 | Open: 0.23 | High: 0.235 | SharesOut.: 465589915 | Beta: 1.119 | Prev.Close: 0.225 | Low: 0.22 | MarketCap: 102429781 | VWAP: 0.227355 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.467 | Exchange: TSX | 
Bengal Energy Ltd. | BNG | Volume: 13650 | Value: 0.125 | Open: 0.155 | High: 0.155 | SharesOut.: 102266694 | Beta: 1.318 | Prev.Close: 0.12 | Low: 0.125 | MarketCap: 12783337 | VWAP: 0.147222 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.521 | Exchange: TSX | 
BetaPro Canadian Gold Miners -2x Daily Bear ETF | HGD | Volume: 159524 | Value: 9.17 | Open: 9.24 | High: 9.25 | SharesOut.: 1733875 | Beta: -3.210 | Prev.Close: 9.18 | Low: 9.13 | MarketCap: 15899634 | VWAP: 9.187043 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 13.900000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
