Alcanna Inc. | CLIQ | Volume: 52304 | Value: 9.28 | Open: 9.70 | High: 9.70 | SharesOut.: 37047306 | Beta: 0.382 | Prev.Close: 9.50 | Low: 9.26 | MarketCap: 343799000 | VWAP: 9.386152 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.990000 | Yield: 3.879 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.202 | Exchange: TSX | 
BMO Global Communications Index ETF | COMM | Volume: 1355 | Value: 21.47 | Open: 21.51 | High: 21.51 | SharesOut.: 400001 | Beta: N/A | Prev.Close: 21.58 | Low: 21.37 | MarketCap: 8588021 | VWAP: 21.480769 | Dividend: 0.080CAD | Div.Frequency: Quarterly | P/ERatio: 13.800 | EPS: N/A | Yield: 1.490 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.720 | Exchange: TSX | 
CAE Inc. | CAE | Volume: 832786 | Value: 27.00 | Open: 26.92 | High: 27.20 | SharesOut.: 267567355 | Beta: 0.443 | Prev.Close: 26.92 | Low: 26.88 | MarketCap: 7224318585 | VWAP: 27.038421 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: 20.900 | EPS: 1.290000 | Yield: 1.333 | Ex-DivDate: 06/14/2018 | P/BRatio: 3.405 | Exchange: TSX | 
Caldwell Partners International Inc. (The) | CWL | Volume: 24825 | Value: 1.12 | Open: 1.09 | High: 1.12 | SharesOut.: 20404552 | Beta: 0.678 | Prev.Close: 1.11 | Low: 1.07 | MarketCap: 22853098 | VWAP: 1.089839 | Dividend: 0.020CAD | Div.Frequency: Quarterly | P/ERatio: 14.200 | EPS: 0.080000 | Yield: 7.143 | Ex-DivDate: 04/13/2018 | P/BRatio: 1.723 | Exchange: TSX | 
Caldwell U.S. Dividend Advantage Fund | UDA.UN | Volume: 13200 | Value: 10.21 | Open: 10.30 | High: 10.30 | SharesOut.: 5185000 | Beta: 1.205 | Prev.Close: 10.28 | Low: 10.21 | MarketCap: 52938850 | VWAP: 10.232879 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: 10.500 | EPS: 0.980000 | Yield: 5.877 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.945 | Exchange: TSX | 
Caledonia Mining Corporation Plc | CAL | Volume: 5680 | Value: 11.15 | Open: 11.00 | High: 11.15 | SharesOut.: 10603153 | Beta: 0.874 | Prev.Close: 11.15 | Low: 10.93 | MarketCap: 118225156 | VWAP: 11.028393 | Dividend: 0.069USD | Div.Frequency: Quarterly | P/ERatio: 9.400 | EPS: 1.190000 | Yield: 3.097 | Ex-DivDate: 01/11/2018 | P/BRatio: 1.348 | Exchange: TSX | 
Calfrac Well Services Ltd. | CFW | Volume: 818781 | Value: 5.75 | Open: 6.10 | High: 6.14 | SharesOut.: 144200665 | Beta: 3.521 | Prev.Close: 6.00 | Low: 5.71 | MarketCap: 829153824 | VWAP: 5.867377 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 30.000 | EPS: 0.200000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.471 | Exchange: TSX | 
Calian Group Ltd. | CGY | Volume: 2399 | Value: 32.50 | Open: 32.53 | High: 32.59 | SharesOut.: 7734262 | Beta: 0.685 | Prev.Close: 33.24 | Low: 32.50 | MarketCap: 251363515 | VWAP: 32.524348 | Dividend: 0.280CAD | Div.Frequency: Quarterly | P/ERatio: 16.100 | EPS: 2.060000 | Yield: 3.446 | Ex-DivDate: 05/22/2018 | P/BRatio: 2.655 | Exchange: TSX | 
Callidus Capital Corporation | CBL | Volume: 81839 | Value: 5.53 | Open: 5.69 | High: 5.70 | SharesOut.: 54695721 | Beta: 2.524 | Prev.Close: 5.60 | Low: 5.20 | MarketCap: 302467337 | VWAP: 5.513157 | Dividend: 0.100CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -4.320000 | Yield: 21.700 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.744 | Exchange: TSX | 
Cameco Corporation | CCO | Volume: 934345 | Value: 14.79 | Open: 14.77 | High: 15.00 | SharesOut.: 395792732 | Beta: 0.931 | Prev.Close: 14.74 | Low: 14.75 | MarketCap: 5853774506 | VWAP: 14.866576 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.330000 | Yield: 2.705 | Ex-DivDate: 12/28/2017 | P/BRatio: 1.190 | Exchange: TSX | 
Canaccord Genuity Acquisition Corp. | CGAC.UN | Volume: 0 | Value: 3.20 | Open: N/A | High: N/A | SharesOut.: 10000000 | Beta: 0.678 | Prev.Close: 3.20 | Low: N/A | MarketCap: 32000000 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Canaccord Genuity Group Inc. | CF | Volume: 372527 | Value: 7.27 | Open: 7.21 | High: 7.35 | SharesOut.: 113531412 | Beta: 1.161 | Prev.Close: 7.13 | Low: 7.19 | MarketCap: 825373365 | VWAP: 7.283507 | Dividend: 0.010CAD | Div.Frequency: Quarterly | P/ERatio: 178.300 | EPS: 0.470000 | Yield: 0.550 | Ex-DivDate: 06/21/2018 | P/BRatio: 1.298 | Exchange: TSX | 
Canacol Energy Ltd. | CNE | Volume: 201925 | Value: 4.23 | Open: 4.23 | High: 4.26 | SharesOut.: 176982713 | Beta: 1.913 | Prev.Close: 4.25 | Low: 4.19 | MarketCap: 748636876 | VWAP: 4.214318 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.100000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.238 | Exchange: TSX | 
Canada Goose Holdings Inc. | GOOS | Volume: 386412 | Value: 75.72 | Open: 76.18 | High: 78.50 | SharesOut.: 37951295 | Beta: 3.188 | Prev.Close: 76.38 | Low: 74.90 | MarketCap: 2873672057 | VWAP: 76.513946 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 83.900 | EPS: 0.590000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 33.804 | Exchange: TSX | 
Canadian Apartment Properties Real Estate Investment Trust | CAR.UN | Volume: 390298 | Value: 42.58 | Open: 42.83 | High: 42.83 | SharesOut.: 143966921 | Beta: 0.115 | Prev.Close: 42.93 | Low: 42.33 | MarketCap: 6130111496 | VWAP: 42.577557 | Dividend: 0.111CAD | Div.Frequency: Monthly | P/ERatio: 6.700 | EPS: N/A | Yield: 3.123 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.169 | Exchange: TSX | 
Canadian Banc Corp. | BK | Volume: 18643 | Value: 12.47 | Open: 12.51 | High: 12.51 | SharesOut.: 11180657 | Beta: 1.641 | Prev.Close: 12.55 | Low: 12.46 | MarketCap: 139422793 | VWAP: 12.499892 | Dividend: 0.104CAD | Div.Frequency: Monthly | P/ERatio: 4.400 | EPS: 2.850000 | Yield: 10.008 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.270 | Exchange: TSX | 
Canadian Convertibles Plus Fund | CCI.UN | Volume: 5300 | Value: 5.71 | Open: 5.74 | High: 5.74 | SharesOut.: 3842955 | Beta: 0.808 | Prev.Close: 5.71 | Low: 5.71 | MarketCap: 21943273 | VWAP: 5.725283 | Dividend: 0.156CAD | Div.Frequency: Quarterly | P/ERatio: 7.600 | EPS: 0.75 | Yield: 10.946 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.965 | Exchange: TSX | 
Canadian Crude Oil Index ETF | CCX | Volume: 7867 | Value: 12.15 | Open: 11.66 | High: 12.15 | SharesOut.: 2050000 | Beta: 1.384 | Prev.Close: 11.33 | Low: 11.66 | MarketCap: 24907500 | VWAP: 11.9668 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Canadian General Investments, Limited | CGI | Volume: 4323 | Value: 25.00 | Open: 25.30 | High: 25.31 | SharesOut.: 20861141 | Beta: 0.658 | Prev.Close: 25.50 | Low: 25.00 | MarketCap: 521528525 | VWAP: 25.092558 | Dividend: 0.190CAD | Div.Frequency: Quarterly | P/ERatio: 4.300 | EPS: 5.930000 | Yield: 3.040 | Ex-DivDate: 05/30/2018 | P/BRatio: 0.754 | Exchange: TSX | 
Canadian High Income Equity Fund | CIQ.UN | Volume: 3200 | Value: 8.78 | Open: 8.72 | High: 8.78 | SharesOut.: 2601835 | Beta: 1.204 | Prev.Close: 8.74 | Low: 8.72 | MarketCap: 22844111 | VWAP: 8.741562 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: 58.300 | EPS: -2.700000 | Yield: 6.834 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.903 | Exchange: TSX | 
Canadian Imperial Bank Of Commerce | CM | Volume: 859273 | Value: 114.54 | Open: 114.32 | High: 114.99 | SharesOut.: 444823141 | Beta: 1.101 | Prev.Close: 116.26 | Low: 114.26 | MarketCap: 50950042570 | VWAP: 114.599606 | Dividend: 1.330CAD | Div.Frequency: Quarterly | P/ERatio: 10.500 | EPS: 11.030000 | Yield: 4.645 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.637 | Exchange: TSX | 
Canadian Life Companies Split Corp. | LFE | Volume: 24143 | Value: 4.23 | Open: 4.32 | High: 4.40 | SharesOut.: 14830286 | Beta: 2.291 | Prev.Close: 4.32 | Low: 4.21 | MarketCap: 62732110 | VWAP: 4.297917 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 9.600 | EPS: 0.450000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.768 | Exchange: TSX | 
Canadian National Railway Company | CNR | Volume: 1035185 | Value: 106.77 | Open: 108.00 | High: 108.36 | SharesOut.: 736172085 | Beta: 0.811 | Prev.Close: 107.18 | Low: 106.66 | MarketCap: 78601093515 | VWAP: 107.264691 | Dividend: 0.455CAD | Div.Frequency: Quarterly | P/ERatio: 15.100 | EPS: 7.280000 | Yield: 1.705 | Ex-DivDate: 06/07/2018 | P/BRatio: 4.739 | Exchange: TSX | 
Canadian Natural Resources Limited | CNQ | Volume: 4101390 | Value: 45.94 | Open: 45.71 | High: 46.15 | SharesOut.: 1224501970 | Beta: 2.169 | Prev.Close: 45.18 | Low: 45.555 | MarketCap: 56253620502 | VWAP: 45.915409 | Dividend: 0.335CAD | Div.Frequency: Quarterly | P/ERatio: 19.700 | EPS: 2.040000 | Yield: 2.917 | Ex-DivDate: 06/14/2018 | P/BRatio: 1.762 | Exchange: TSX | 
Canadian Pacific Railway Limited | CP | Volume: 281478 | Value: 241.38 | Open: 243.43 | High: 245.77 | SharesOut.: 142550892 | Beta: 1.238 | Prev.Close: 242.06 | Low: 241.06 | MarketCap: 34408934311 | VWAP: 242.761888 | Dividend: 0.650CAD | Div.Frequency: Quarterly | P/ERatio: 15.200 | EPS: 15.96 | Yield: 1.077 | Ex-DivDate: 06/28/2018 | P/BRatio: 5.368 | Exchange: TSX | 
Canadian Preferred Share Trust | PFT.UN | Volume: 6000 | Value: 9.86 | Open: 9.86 | High: 9.86 | SharesOut.: 2599703 | Beta: 1.067 | Prev.Close: 9.86 | Low: 9.86 | MarketCap: 25633072 | VWAP: 9.860000 | Dividend: 0.033CAD | Div.Frequency: Monthly | P/ERatio: 4.000 | EPS: 2.470000 | Yield: 4.053 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.984 | Exchange: TSX | 
Canadian Resources Income Trust | RTU.UN | Volume: 4600 | Value: 8.80 | Open: 8.80 | High: 8.80 | SharesOut.: 1152620 | Beta: 1.512 | Prev.Close: 8.80 | Low: 8.80 | MarketCap: 10143056 | VWAP: 8.80 | Dividend: 0.043CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.430000 | Yield: 5.795 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.949 | Exchange: TSX | 
Canadian Tire Corporation, Limited | CTC | Volume: 257 | Value: 247.80 | Open: 247.80 | High: 247.80 | SharesOut.: 3423366 | Beta: -0.073 | Prev.Close: 254.85 | Low: 247.80 | MarketCap: 848310095 | VWAP: 247.80 | Dividend: 0.900CAD | Div.Frequency: Quarterly | P/ERatio: 23.900 | EPS: 10.700000 | Yield: 1.453 | Ex-DivDate: 07/30/2018 | P/BRatio: 3.747 | Exchange: TSX | 
Canadian Utilities & Telecom Income Fund | UTE.UN | Volume: 0 | Value: 8.75 | Open: N/A | High: N/A | SharesOut.: 1819867 | Beta: 0.541 | Prev.Close: 8.75 | Low: N/A | MarketCap: 15923836 | VWAP: N/A | Dividend: 0.052CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: 0.370000 | Yield: 7.168 | Ex-DivDate: 06/14/2018 | P/BRatio: N/A | Exchange: TSX | 
Canadian Utilities Limited | CU | Volume: 327532 | Value: 33.17 | Open: 32.71 | High: 33.23 | SharesOut.: 197640195 | Beta: 0.522 | Prev.Close: 32.68 | Low: 32.62 | MarketCap: 6555725268 | VWAP: 33.021378 | Dividend: 0.393CAD | Div.Frequency: Quarterly | P/ERatio: 24.200 | EPS: 1.360000 | Yield: 4.743 | Ex-DivDate: 05/09/2018 | P/BRatio: 1.901 | Exchange: TSX | 
Canadian Western Bank | CWB | Volume: 409375 | Value: 34.97 | Open: 35.59 | High: 35.655 | SharesOut.: 88830982 | Beta: 1.961 | Prev.Close: 35.49 | Low: 34.81 | MarketCap: 3106419441 | VWAP: 35.147424 | Dividend: 0.250CAD | Div.Frequency: Quarterly | P/ERatio: 13.100 | EPS: 2.570000 | Yield: 2.860 | Ex-DivDate: 06/14/2018 | P/BRatio: 1.377 | Exchange: TSX | 
Canadian Zinc Corporation | CZN | Volume: 85626 | Value: 0.145 | Open: 0.15 | High: 0.15 | SharesOut.: 266111543 | Beta: 2.836 | Prev.Close: 0.15 | Low: 0.145 | MarketCap: 38586174 | VWAP: 0.146765 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 14.500 | Exchange: TSX | 
Canarc Resource Corp. | CCM | Volume: 34000 | Value: 0.06 | Open: 0.055 | High: 0.06 | SharesOut.: 218693144 | Beta: 1.803 | Prev.Close: 0.055 | Low: 0.055 | MarketCap: 13121589 | VWAP: 0.059853 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.545 | Exchange: TSX | 
Candente Copper Corp. | DNT | Volume: 430500 | Value: 0.08 | Open: 0.075 | High: 0.08 | SharesOut.: 178924819 | Beta: 2.953 | Prev.Close: 0.08 | Low: 0.07 | MarketCap: 14313986 | VWAP: 0.074056 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.170 | Exchange: TSX | 
Canfor Corporation | CFP | Volume: 202699 | Value: 30.65 | Open: 30.40 | High: 30.87 | SharesOut.: 128625480 | Beta: 1.244 | Prev.Close: 30.32 | Low: 30.40 | MarketCap: 3942370962 | VWAP: 30.661841 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 10.100 | EPS: 3.00 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.111 | Exchange: TSX | 
Canfor Pulp Products Inc. | CFX | Volume: 150299 | Value: 23.64 | Open: 23.22 | High: 24.04 | SharesOut.: 65250759 | Beta: 0.448 | Prev.Close: 23.22 | Low: 23.22 | MarketCap: 1542527943 | VWAP: 23.779735 | Dividend: 0.063CAD | Div.Frequency: Quarterly | P/ERatio: 10.700 | EPS: 2.180000 | Yield: 1.058 | Ex-DivDate: 05/04/2018 | P/BRatio: 2.432 | Exchange: TSX | 
Canlan Ice Sports Corp. | ICE | Volume: 310 | Value: 4.85 | Open: 4.84 | High: 4.85 | SharesOut.: 13336999 | Beta: -0.632 | Prev.Close: 4.84 | Low: 4.84 | MarketCap: 64684445 | VWAP: 4.846667 | Dividend: 0.025CAD | Div.Frequency: Quarterly | P/ERatio: 13.800 | EPS: 0.270000 | Yield: 2.062 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.307 | Exchange: TSX | 
CannTrust Holdings Inc. | TRST | Volume: 1502953 | Value: 7.77 | Open: 8.37 | High: 8.47 | SharesOut.: 103791513 | Beta: 7.597 | Prev.Close: 8.33 | Low: 7.58 | MarketCap: 806460056 | VWAP: 7.866075 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 37.900 | EPS: 0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 9.141 | Exchange: TSX | 
Canoe EIT Income Fund | EIT.PR.A | Volume: 2500 | Value: 25.13 | Open: 25.11 | High: 25.13 | SharesOut.: 5635000 | Beta: -0.145 | Prev.Close: 25.12 | Low: 25.10 | MarketCap: 141607550 | VWAP: 25.1104 | Dividend: 0.300CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 4.775 | Ex-DivDate: 05/22/2018 | P/BRatio: N/A | Exchange: TSX | 
Canopy Growth Corporation | WEED | Volume: 10336799 | Value: 36.93 | Open: 39.49 | High: 40.47 | SharesOut.: 200757723 | Beta: 9.691 | Prev.Close: 41.08 | Low: 36.33 | MarketCap: 7413982710 | VWAP: 38.556746 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.150000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 7.583 | Exchange: TSX | 
Canso Credit Income Fund | PBY.UN | Volume: 39050 | Value: 11.85 | Open: 11.99 | High: 12.00 | SharesOut.: 13165739 | Beta: 0.408 | Prev.Close: 11.98 | Low: 11.85 | MarketCap: 156014007 | VWAP: 11.871590 | Dividend: 0.042CAD | Div.Frequency: Monthly | P/ERatio: 15.200 | EPS: 1.230000 | Yield: 4.219 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.009 | Exchange: TSX | 
Canso Select Opportunities Fund | SCW.UN | Volume: 2400 | Value: 10.50 | Open: 10.56 | High: 10.56 | SharesOut.: 3210597 | Beta: 0.598 | Prev.Close: 10.56 | Low: 10.50 | MarketCap: 33711269 | VWAP: 10.51375 | Dividend: 0.042CAD | Div.Frequency: Monthly | P/ERatio: 7.000 | EPS: 1.300000 | Yield: 4.761 | Ex-DivDate: 07/27/2018 | P/BRatio: 0.943 | Exchange: TSX | 
CanWel Building Materials Group Ltd. | CWX | Volume: 110485 | Value: 7.14 | Open: 7.24 | High: 7.27 | SharesOut.: 77693735 | Beta: 0.820 | Prev.Close: 7.23 | Low: 7.14 | MarketCap: 554733268 | VWAP: 7.218685 | Dividend: 0.140CAD | Div.Frequency: Quarterly | P/ERatio: 15.400 | EPS: 0.470000 | Yield: 7.843 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.535 | Exchange: TSX | 
Capital Power Corporation | CPX | Volume: 189747 | Value: 25.31 | Open: 25.39 | High: 25.44 | SharesOut.: 102986652 | Beta: 0.754 | Prev.Close: 25.34 | Low: 25.21 | MarketCap: 2606592162 | VWAP: 25.290593 | Dividend: 0.418CAD | Div.Frequency: Quarterly | P/ERatio: 25.600 | EPS: 0.950000 | Yield: 6.598 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.897 | Exchange: TSX | 
Capstone Infrastructure Corporation | CSE.PR.A | Volume: 2500 | Value: 13.46 | Open: 13.46 | High: 13.46 | SharesOut.: 3000000 | Beta: 0.172 | Prev.Close: 13.46 | Low: 13.46 | MarketCap: 40380000 | VWAP: 13.46 | Dividend: 0.204CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 6.074 | Ex-DivDate: 07/12/2018 | P/BRatio: N/A | Exchange: TSX | 
