ADF Group Inc. | DRX | Volume: 5200 | Value: 1.60 | Open: 1.66 | High: 1.66 | SharesOut.: 18292099 | Beta: 0.493 | Prev.Close: 1.65 | Low: 1.60 | MarketCap: 29267358 | VWAP: 1.649615 | Dividend: 0.010CAD | Div.Frequency: Semi-Annual | P/ERatio: N/A | EPS: -0.220000 | Yield: 1.250 | Ex-DivDate: 04/27/2018 | P/BRatio: 0.544 | Exchange: TSX | 
BMO Global Consumer Discretionary Hedged to CAD Index ETF | DISC | Volume: 0 | Value: 23.76 | Open: N/A | High: N/A | SharesOut.: 950300 | Beta: 0.659 | Prev.Close: 23.76 | Low: N/A | MarketCap: 22579128 | VWAP: N/A | Dividend: 0.060CAD | Div.Frequency: Quarterly | P/ERatio: 17.300 | EPS: N/A | Yield: 0.928 | Ex-DivDate: 06/27/2018 | P/BRatio: 2.960 | Exchange: TSX | 
BRP Inc. | DOO | Volume: 299688 | Value: 63.45 | Open: 62.63 | High: 63.68 | SharesOut.: 36010259 | Beta: 1.300 | Prev.Close: 62.66 | Low: 62.32 | MarketCap: 2284850934 | VWAP: 63.038244 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: 21.800 | EPS: 2.560000 | Yield: 0.567 | Ex-DivDate: 06/28/2018 | P/BRatio: -17.056 | Exchange: TSX | 
Candente Copper Corp. | DNT | Volume: 430500 | Value: 0.08 | Open: 0.075 | High: 0.08 | SharesOut.: 178924819 | Beta: 2.953 | Prev.Close: 0.08 | Low: 0.07 | MarketCap: 14313986 | VWAP: 0.074056 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.170 | Exchange: TSX | 
D-Box Technologies Inc. | DBO | Volume: 308200 | Value: 0.23 | Open: 0.24 | High: 0.24 | SharesOut.: 175950573 | Beta: 1.017 | Prev.Close: 0.24 | Low: 0.225 | MarketCap: 40468632 | VWAP: 0.230334 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.769 | Exchange: TSX | 
Dalradian Resources Inc. | DNA | Volume: 650220 | Value: 1.45 | Open: 1.45 | High: 1.46 | SharesOut.: 355493448 | Beta: 2.192 | Prev.Close: 1.46 | Low: 1.45 | MarketCap: 515465500 | VWAP: 1.450155 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.706 | Exchange: TSX | 
Data Communications Management Corp. | DCM | Volume: 13900 | Value: 1.64 | Open: 1.67 | High: 1.71 | SharesOut.: 21434015 | Beta: 4.931 | Prev.Close: 1.73 | Low: 1.64 | MarketCap: 35151785 | VWAP: 1.670576 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.380000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 6.833 | Exchange: TSX | 
DataWind Inc. | DW | Volume: 1150 | Value: 0.105 | Open: 0.105 | High: 0.105 | SharesOut.: 24292848 | Beta: -0.404 | Prev.Close: 0.12 | Low: 0.105 | MarketCap: 2550749 | VWAP: 0.105 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -0.092 | Exchange: TSX | 
Delphi Energy Corp. | DEE | Volume: 81390 | Value: 0.91 | Open: 0.87 | High: 0.94 | SharesOut.: 185547351 | Beta: 3.817 | Prev.Close: 0.87 | Low: 0.87 | MarketCap: 168848089 | VWAP: 0.898438 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.875 | Exchange: TSX | 
Denison Mines Corp. | DML | Volume: 614312 | Value: 0.66 | Open: 0.66 | High: 0.67 | SharesOut.: 559183209 | Beta: 1.888 | Prev.Close: 0.66 | Low: 0.65 | MarketCap: 369060918 | VWAP: 0.655205 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.650 | Exchange: TSX | 
Descartes Systems Group Inc. (The) | DSG | Volume: 273750 | Value: 42.06 | Open: 42.04 | High: 42.19 | SharesOut.: 76814800 | Beta: -0.026 | Prev.Close: 41.89 | Low: 41.71 | MarketCap: 3230830488 | VWAP: 41.946588 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 101.300 | EPS: 0.450000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 4.763 | Exchange: TSX | 
