Canoe EIT Income Fund | EIT.PR.A | Volume: 2500 | Value: 25.13 | Open: 25.11 | High: 25.13 | SharesOut.: 5635000 | Beta: -0.145 | Prev.Close: 25.12 | Low: 25.10 | MarketCap: 141607550 | VWAP: 25.1104 | Dividend: 0.300CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 4.775 | Ex-DivDate: 05/22/2018 | P/BRatio: N/A | Exchange: TSX | 
E-L Financial Corporation Limited | ELF | Volume: 756 | Value: 817.00 | Open: 822.00 | High: 822.00 | SharesOut.: 4019409 | Beta: 0.361 | Prev.Close: 822.00 | Low: 817.00 | MarketCap: 3283857153 | VWAP: 819.375 | Dividend: 1.250CAD | Div.Frequency: Quarterly | P/ERatio: 7.100 | EPS: 166.169998 | Yield: 0.612 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.586 | Exchange: TSX | 
Eagle Energy Inc. | EGL | Volume: 66650 | Value: 0.38 | Open: 0.36 | High: 0.385 | SharesOut.: 43750488 | Beta: 2.720 | Prev.Close: 0.365 | Low: 0.36 | MarketCap: 16625185 | VWAP: 0.372744 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.400000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.172 | Exchange: TSX | 
East Coast Investment Grade Income Fund | ECF.UN | Volume: 17474 | Value: 9.75 | Open: 9.80 | High: 9.84 | SharesOut.: 11715963 | Beta: 0.381 | Prev.Close: 9.80 | Low: 9.75 | MarketCap: 114230639 | VWAP: 9.796395 | Dividend: 0.040CAD | Div.Frequency: Monthly | P/ERatio: 17.500 | EPS: 0.560000 | Yield: 4.923 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.280 | Exchange: TSX | 
Eastern Platinum Limited | ELR | Volume: 2800 | Value: 0.31 | Open: 0.31 | High: 0.31 | SharesOut.: 92639032 | Beta: 2.352 | Prev.Close: 0.31 | Low: 0.31 | MarketCap: 28718100 | VWAP: 0.31 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.680000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.116 | Exchange: TSX | 
Eastmain Resources Inc. | ER | Volume: 425360 | Value: 0.20 | Open: 0.215 | High: 0.215 | SharesOut.: 199241813 | Beta: 1.427 | Prev.Close: 0.21 | Low: 0.19 | MarketCap: 39848363 | VWAP: 0.200053 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.526 | Exchange: TSX | 
Echelon Financial Holdings Inc. | EFH | Volume: 25800 | Value: 11.95 | Open: 12.05 | High: 12.05 | SharesOut.: 11922633 | Beta: 0.781 | Prev.Close: 12.00 | Low: 11.89 | MarketCap: 142475464 | VWAP: 11.912636 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 19.400 | EPS: -2.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.957 | Exchange: TSX | 
Eclipse Residential Mortgage Investment Corporation | ERM | Volume: 1338 | Value: 9.33 | Open: 9.30 | High: 9.33 | SharesOut.: 3136509 | Beta: -0.097 | Prev.Close: 9.25 | Low: 9.30 | MarketCap: 29263629 | VWAP: 9.310769 | Dividend: 0.063CAD | Div.Frequency: Monthly | P/ERatio: 11.700 | EPS: 0.780000 | Yield: 8.039 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.961 | Exchange: TSX | 
ECN Capital Corp. | ECN | Volume: 1779754 | Value: 3.45 | Open: 3.48 | High: 3.50 | SharesOut.: 330381345 | Beta: 1.461 | Prev.Close: 3.47 | Low: 3.43 | MarketCap: 1139815640 | VWAP: 3.460563 | Dividend: 0.010CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: 0.590000 | Yield: 1.159 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.661 | Exchange: TSX | 
eCobalt Solutions Inc. | ECS | Volume: 637558 | Value: 0.90 | Open: 0.94 | High: 0.94 | SharesOut.: 157750901 | Beta: 3.174 | Prev.Close: 0.98 | Low: 0.88 | MarketCap: 141975811 | VWAP: 0.910346 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.304 | Exchange: TSX | 
Economic Investment Trust Limited | EVT | Volume: 351 | Value: 113.00 | Open: 113.00 | High: 113.00 | SharesOut.: 5615535 | Beta: 0.339 | Prev.Close: 113.00 | Low: 113.00 | MarketCap: 634555455 | VWAP: 113.00 | Dividend: 0.300CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: 5.400000 | Yield: 1.062 | Ex-DivDate: 06/14/2018 | P/BRatio: N/A | Exchange: TSX | 
EcoSynthetix Inc. | ECO | Volume: 37600 | Value: 1.65 | Open: 1.62 | High: 1.65 | SharesOut.: 57916816 | Beta: -0.188 | Prev.Close: 1.62 | Low: 1.58 | MarketCap: 95562746 | VWAP: 1.601356 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.14 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.289 | Exchange: TSX | 
