Aberdeen Asia-Pacific Income Investment Company Limited | FAP | Volume: 33813 | Value: 3.96 | Open: 3.97 | High: 3.98 | SharesOut.: 51402616 | Beta: 0.334 | Prev.Close: 3.92 | Low: 3.95 | MarketCap: 203554359 | VWAP: 3.965923 | Dividend: 0.033CAD | Div.Frequency: Monthly | P/ERatio: 106.800 | EPS: 0.040000 | Yield: 9.848 | Ex-DivDate: 06/20/2018 | P/BRatio: 0.764 | Exchange: TSX | 
Faircourt Gold Income Corp. | FGX | Volume: 200 | Value: 3.09 | Open: 3.08 | High: 3.09 | SharesOut.: 4699975 | Beta: 1.349 | Prev.Close: 3.07 | Low: 3.08 | MarketCap: 14522923 | VWAP: 3.085 | Dividend: 0.024CAD | Div.Frequency: Monthly | P/ERatio: 15.400 | EPS: -0.600000 | Yield: 9.320 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.861 | Exchange: TSX | 
Faircourt Split Trust | FCS.PR.C | Volume: 0 | Value: 10.05 | Open: N/A | High: N/A | SharesOut.: 1340085 | Beta: 0.007 | Prev.Close: 10.05 | Low: N/A | MarketCap: 13467854 | VWAP: N/A | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 5.970 | Ex-DivDate: 06/19/2018 | P/BRatio: N/A | Exchange: TSX | 
Fairfax Africa Holdings Corporation | FAH.U | Volume: 22903 | Value: 11.40 | Open: 11.38 | High: 11.50 | SharesOut.: 32920189 | Beta: 0.463 | Prev.Close: 11.38 | Low: 11.28 | MarketCap: 375290155 | VWAP: 11.390439 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 9.800 | EPS: 0.700000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.119 | Exchange: TSX | 
Fairfax Financial Holdings Limited | FFH | Volume: 43191 | Value: 744.64 | Open: 741.84 | High: 747.91 | SharesOut.: 27863190 | Beta: 0.170 | Prev.Close: 739.88 | Low: 738.00 | MarketCap: 20748045802 | VWAP: 745.099727 | Dividend: 10.000USD | Div.Frequency: Annual | P/ERatio: 6.700 | EPS: 112.849998 | Yield: 1.679 | Ex-DivDate: 01/17/2018 | P/BRatio: 1.214 | Exchange: TSX | 
Fairfax India Holdings Corporation | FIH.U | Volume: 102228 | Value: 16.44 | Open: 16.78 | High: 16.78 | SharesOut.: 125096316 | Beta: 0.049 | Prev.Close: 16.80 | Low: 16.39 | MarketCap: 2056583435 | VWAP: 16.508392 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 7.500 | EPS: 4.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.143 | Exchange: TSX | 
Fennec Pharmaceuticals Inc. | FRX | Volume: 1700 | Value: 13.58 | Open: 13.84 | High: 13.85 | SharesOut.: 18578392 | Beta: 0.926 | Prev.Close: 14.01 | Low: 13.57 | MarketCap: 252294563 | VWAP: 13.721176 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.640000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 7.341 | Exchange: TSX | 
Fiera Capital Corporation | FSZ | Volume: 105721 | Value: 12.06 | Open: 12.31 | High: 12.31 | SharesOut.: 77120167 | Beta: 1.541 | Prev.Close: 12.28 | Low: 11.85 | MarketCap: 930069214 | VWAP: 12.06637 | Dividend: 0.190CAD | Div.Frequency: Quarterly | P/ERatio: 204.700 | EPS: 0.130000 | Yield: 6.302 | Ex-DivDate: 05/22/2018 | P/BRatio: 1.955 | Exchange: TSX | 
Financial 15 Split Corp. | FTN | Volume: 147559 | Value: 10.15 | Open: 10.22 | High: 10.22 | SharesOut.: 40494374 | Beta: 1.405 | Prev.Close: 10.20 | Low: 10.15 | MarketCap: 411017896 | VWAP: 10.199582 | Dividend: 0.126CAD | Div.Frequency: Monthly | P/ERatio: 5.800 | EPS: 1.760000 | Yield: 14.861 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.295 | Exchange: TSX | 
Finning International Inc. | FTT | Volume: 345272 | Value: 32.64 | Open: 32.51 | High: 32.81 | SharesOut.: 168401138 | Beta: 1.627 | Prev.Close: 32.51 | Low: 32.34 | MarketCap: 5496613144 | VWAP: 32.584955 | Dividend: 0.200CAD | Div.Frequency: Quarterly | P/ERatio: 22.300 | EPS: 1.310000 | Yield: 2.451 | Ex-DivDate: 05/24/2018 | P/BRatio: 2.669 | Exchange: TSX | 
Firan Technology Group Corporation | FTG | Volume: 6150 | Value: 2.15 | Open: 2.12 | High: 2.17 | SharesOut.: 22701201 | Beta: -0.480 | Prev.Close: 2.14 | Low: 2.12 | MarketCap: 48807582 | VWAP: 2.153115 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 107.000 | EPS: 0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.335 | Exchange: TSX | 
Firm Capital Mortgage Investment Corporation | FC | Volume: 61601 | Value: 13.15 | Open: 13.28 | High: 13.38 | SharesOut.: 26097413 | Beta: -0.026 | Prev.Close: 13.26 | Low: 13.05 | MarketCap: 343180981 | VWAP: 13.191781 | Dividend: 0.078CAD | Div.Frequency: Monthly | P/ERatio: 13.800 | EPS: 1.020000 | Yield: 7.118 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.205 | Exchange: TSX | 
First Asset 1-5 Year Laddered Government Strip Bond Index ETF | BXF | Volume: 1257 | Value: 10.11 | Open: 10.11 | High: 10.11 | SharesOut.: 13599969 | Beta: 0.015 | Prev.Close: 10.09 | Low: 10.11 | MarketCap: 137495687 | VWAP: 10.11 | Dividend: 0.036CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 1.285 | Ex-DivDate: 06/22/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Active Canadian Dividend ETF | FDV | Volume: 500 | Value: 9.65 | Open: 9.65 | High: 9.65 | SharesOut.: 3499968 | Beta: 0.495 | Prev.Close: 9.59 | Low: 9.65 | MarketCap: 33774691 | VWAP: 9.65 | Dividend: 0.031CAD | Div.Frequency: Monthly | P/ERatio: 16.200 | EPS: N/A | Yield: 3.880 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.710 | Exchange: TSX | 
