American Hotel Income Properties REIT LP | HOT.DB.U | Volume: 80000 | Value: 96.50 | Open: 96.56 | High: 96.56 | SharesOut.: 537625 | Beta: 0.467 | Prev.Close: 96.50 | Low: 95.00 | MarketCap: 51880813 | VWAP: 96.375125 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Australian REIT Income Fund | HRR.UN | Volume: 0 | Value: 10.62 | Open: N/A | High: N/A | SharesOut.: 1594724 | Beta: 0.905 | Prev.Close: 10.62 | Low: N/A | MarketCap: 16935969 | VWAP: N/A | Dividend: 0.055CAD | Div.Frequency: Monthly | P/ERatio: 16.600 | EPS: 0.550000 | Yield: 6.215 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.935 | Exchange: TSX | 
BetaPro Canadian Gold Miners -2x Daily Bear ETF | HGD | Volume: 159524 | Value: 9.17 | Open: 9.24 | High: 9.25 | SharesOut.: 1733875 | Beta: -3.210 | Prev.Close: 9.18 | Low: 9.13 | MarketCap: 15899634 | VWAP: 9.187043 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 13.900000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro Canadian Gold Miners 2x Daily Bull ETF | HGU | Volume: 159115 | Value: 11.90 | Open: 11.87 | High: 11.98 | SharesOut.: 7715000 | Beta: 3.058 | Prev.Close: 11.91 | Low: 11.81 | MarketCap: 91808500 | VWAP: 11.880966 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -49.349998 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro Crude Oil -2x Daily Bear ETF | HOD | Volume: 4129854 | Value: 4.50 | Open: 4.62 | High: 4.62 | SharesOut.: 20490000 | Beta: -2.661 | Prev.Close: 4.76 | Low: 4.40 | MarketCap: 92205000 | VWAP: 4.481662 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 9.900 | EPS: 0.330000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.780 | Exchange: TSX | 
BetaPro Crude Oil 2x Daily Bull ETF | HOU | Volume: 2612942 | Value: 11.70 | Open: 11.45 | High: 11.92 | SharesOut.: 11516875 | Beta: 2.910 | Prev.Close: 11.11 | Low: 11.44 | MarketCap: 134747438 | VWAP: 11.729585 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro Gold Bullion -2x Daily Bear ETF | HBD | Volume: 430 | Value: 15.09 | Open: 15.04 | High: 15.10 | SharesOut.: 150000 | Beta: -0.558 | Prev.Close: 14.81 | Low: 15.04 | MarketCap: 2263500 | VWAP: 15.076667 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 15.800 | EPS: 8.180000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.780 | Exchange: TSX | 
BetaPro Gold Bullion 2x Daily Bull ETF | HBU | Volume: 29067 | Value: 7.62 | Open: 7.66 | High: 7.67 | SharesOut.: 2500000 | Beta: 0.508 | Prev.Close: 7.68 | Low: 7.61 | MarketCap: 19050000 | VWAP: 7.645556 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -8.900000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro NASDAQ-100 -2x Daily Bear ETF | HQD | Volume: 110825 | Value: 7.32 | Open: 7.08 | High: 7.32 | SharesOut.: 2487750 | Beta: -1.507 | Prev.Close: 7.12 | Low: 7.01 | MarketCap: 18210330 | VWAP: 7.201007 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro NASDAQ-100 2x Daily Bull ETF | HQU | Volume: 128480 | Value: 63.27 | Open: 65.56 | High: 66.12 | SharesOut.: 1140000 | Beta: 1.729 | Prev.Close: 65.09 | Low: 63.26 | MarketCap: 72127800 | VWAP: 64.737984 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 4.830000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro Natural Gas -2x Daily Bear ETF | HND | Volume: 774743 | Value: 12.53 | Open: 12.55 | High: 12.78 | SharesOut.: 2549900 | Beta: -1.789 | Prev.Close: 12.91 | Low: 12.41 | MarketCap: 31950247 | VWAP: 12.550124 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 7.800 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.520 | Exchange: TSX | 
BetaPro Natural Gas 2x Daily Bull ETF | HNU | Volume: 1622438 | Value: 4.13 | Open: 4.11 | High: 4.17 | SharesOut.: 28501492 | Beta: 1.631 | Prev.Close: 4.01 | Low: 4.06 | MarketCap: 117711162 | VWAP: 4.123355 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -833.23999 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro S&P 500 -2x Daily Bear ETF | HSD | Volume: 382568 | Value: 4.25 | Open: 4.16 | High: 4.25 | SharesOut.: 8332500 | Beta: -1.466 | Prev.Close: 4.19 | Low: 4.12 | MarketCap: 35413125 | VWAP: 4.187886 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 20.500 | EPS: -2.350000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.150 | Exchange: TSX | 
BetaPro S&P 500 2x Daily Bull ETF | HSU | Volume: 82979 | Value: 51.38 | Open: 52.45 | High: 53.06 | SharesOut.: 865000 | Beta: 1.643 | Prev.Close: 52.15 | Low: 51.38 | MarketCap: 44443700 | VWAP: 52.155663 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 20.500 | EPS: 5.770000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.150 | Exchange: TSX | 
BetaPro S&P 500 Daily Inverse ETF | HIU | Volume: 200 | Value: 27.45 | Open: 27.45 | High: 27.45 | SharesOut.: 820000 | Beta: -0.787 | Prev.Close: 27.53 | Low: 27.45 | MarketCap: 22509000 | VWAP: 27.45 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.340000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro S&P 500 VIX Short-Term Futures ETF | HUV | Volume: 106679 | Value: 6.80 | Open: 6.37 | High: 6.93 | SharesOut.: 986875 | Beta: -4.576 | Prev.Close: 6.44 | Low: 6.21 | MarketCap: 6710750 | VWAP: 6.703765 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro S&P/TSX 60 -2x Daily Bear ETF | HXD | Volume: 252072 | Value: 5.54 | Open: 5.50 | High: 5.56 | SharesOut.: 8114000 | Beta: -1.869 | Prev.Close: 5.51 | Low: 5.46 | MarketCap: 44951560 | VWAP: 5.521788 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.550000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro S&P/TSX 60 2x Daily Bull ETF | HXU | Volume: 71057 | Value: 37.18 | Open: 37.59 | High: 37.68 | SharesOut.: 1240000 | Beta: 2.001 | Prev.Close: 37.35 | Low: 37.08 | MarketCap: 46103200 | VWAP: 37.275557 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 2.770000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro S&P/TSX 60 Daily Inverse ETF | HIX | Volume: 11200 | Value: 6.05 | Open: 6.03 | High: 6.05 | SharesOut.: 3300000 | Beta: -0.964 | Prev.Close: 6.03 | Low: 6.03 | MarketCap: 19965000 | VWAP: 6.040179 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.860000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro S&P/TSX Capped Energy -2x Daily Bear ETF | HED | Volume: 27115 | Value: 7.02 | Open: 7.12 | High: 7.12 | SharesOut.: 704000 | Beta: -3.657 | Prev.Close: 7.225 | Low: 6.86 | MarketCap: 4942080 | VWAP: 6.947111 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.730000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro S&P/TSX Capped Energy 2x Daily Bull ETF | HEU | Volume: 50350 | Value: 10.89 | Open: 10.71 | High: 11.10 | SharesOut.: 2310000 | Beta: 3.939 | Prev.Close: 10.60 | Low: 10.71 | MarketCap: 25155900 | VWAP: 10.988767 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.550000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro S&P/TSX Capped Financials -2x Daily Bear ETF | HFD | Volume: 3700 | Value: 5.16 | Open: 5.13 | High: 5.16 | SharesOut.: 3060000 | Beta: -1.781 | Prev.Close: 5.08 | Low: 5.13 | MarketCap: 15789600 | VWAP: 5.139459 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -2.130000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro S&P/TSX Capped Financials 2x Daily Bull ETF | HFU | Volume: 8640 | Value: 37.97 | Open: 38.24 | High: 38.24 | SharesOut.: 490000 | Beta: 1.981 | Prev.Close: 38.37 | Low: 37.96 | MarketCap: 18605300 | VWAP: 38.062558 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 3.99 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro Silver -2x Daily Bear ETF | HZD | Volume: 23850 | Value: 6.62 | Open: 6.50 | High: 6.67 | SharesOut.: 722000 | Beta: -1.823 | Prev.Close: 6.39 | Low: 6.50 | MarketCap: 4779640 | VWAP: 6.563950 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 5.060000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
BetaPro Silver 2x Daily Bull ETF | HZU | Volume: 108294 | Value: 12.89 | Open: 13.11 | High: 13.20 | SharesOut.: 2310000 | Beta: 1.812 | Prev.Close: 13.25 | Low: 12.79 | MarketCap: 29775900 | VWAP: 13.002895 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -8.540000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Blockchain Technologies ETF | HBLK | Volume: 12426 | Value: 7.70 | Open: 7.81 | High: 7.81 | SharesOut.: 1450000 | Beta: 3.774 | Prev.Close: 7.86 | Low: 7.70 | MarketCap: 11165000 | VWAP: 7.729333 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 31.500 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 5.560 | Exchange: TSX | 
Brand Leaders Income Fund | HBL.UN | Volume: 700 | Value: 10.85 | Open: 10.85 | High: 10.85 | SharesOut.: 433051 | Beta: 0.760 | Prev.Close: 10.85 | Low: 10.85 | MarketCap: 4698603 | VWAP: 10.85 | Dividend: 0.065CAD | Div.Frequency: Monthly | P/ERatio: 7.700 | EPS: 1.410000 | Yield: 7.189 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.938 | Exchange: TSX | 
BSR Real Estate Investment Trust | HOM.U | Volume: 47476 | Value: 9.35 | Open: 9.35 | High: 9.35 | SharesOut.: 16550000 | Beta: N/A | Prev.Close: 9.25 | Low: 9.15 | MarketCap: 154742500 | VWAP: 9.260063 | Dividend: 0.059USD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.352 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Evolve North American Gender Diversity Index ETF | HERS | Volume: 0 | Value: 21.60 | Open: N/A | High: N/A | SharesOut.: 125000 | Beta: 0.705 | Prev.Close: 21.60 | Low: N/A | MarketCap: 2700000 | VWAP: N/A | Dividend: 0.033CAD | Div.Frequency: Monthly | P/ERatio: 18.300 | EPS: N/A | Yield: 1.818 | Ex-DivDate: 06/21/2018 | P/BRatio: 2.600 | Exchange: TSX | 
Global Healthcare Income & Growth ETF | HIG | Volume: 5423 | Value: 8.60 | Open: 8.70 | High: 8.70 | SharesOut.: 5107692 | Beta: 0.357 | Prev.Close: 8.77 | Low: 8.60 | MarketCap: 43926151 | VWAP: 8.692593 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: 8.700 | EPS: N/A | Yield: 6.977 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.994 | Exchange: TSX | 
Global Telecom & Utilities Income Fund | HGI.UN | Volume: 0 | Value: 9.08 | Open: N/A | High: N/A | SharesOut.: 429184 | Beta: 0.551 | Prev.Close: 9.08 | Low: N/A | MarketCap: 3896991 | VWAP: N/A | Dividend: 0.060CAD | Div.Frequency: Monthly | P/ERatio: 100.900 | EPS: 0.090000 | Yield: 7.930 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.981 | Exchange: TSX | 
Global Water Solutions Fund | HTO.UN | Volume: 600 | Value: 9.91 | Open: 9.92 | High: 9.92 | SharesOut.: 2538059 | Beta: 1.997 | Prev.Close: 9.90 | Low: 9.91 | MarketCap: 25152165 | VWAP: 9.915 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 3.900 | EPS: 2.550000 | Yield: 4.036 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.941 | Exchange: TSX | 
H&R Real Estate Investment Trust | HR.UN | Volume: 530175 | Value: 20.14 | Open: 20.23 | High: 20.26 | SharesOut.: 285653922 | Beta: 0.784 | Prev.Close: 20.20 | Low: 20.14 | MarketCap: 5753069989 | VWAP: 20.175975 | Dividend: 0.115CAD | Div.Frequency: Monthly | P/ERatio: 8.800 | EPS: N/A | Yield: 6.852 | Ex-DivDate: 06/14/2018 | P/BRatio: 1.124 | Exchange: TSX | 
Hamilton Capital Global Bank ETF | HBG | Volume: 1558 | Value: 22.62 | Open: 22.74 | High: 22.74 | SharesOut.: 4497037 | Beta: 1.118 | Prev.Close: 22.81 | Low: 22.62 | MarketCap: 101722977 | VWAP: 22.673333 | Dividend: 0.080CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 1.813 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Hamilton Capital Global Financials Yield ETF | HFY | Volume: 5299 | Value: 16.79 | Open: 16.87 | High: 16.87 | SharesOut.: 4221975 | Beta: 0.202 | Prev.Close: 16.98 | Low: 16.78 | MarketCap: 70886960 | VWAP: 16.846731 | Dividend: 0.190CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 4.616 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Hamilton Capital U.S. Mid-Cap Financials ETF (USD) | HFMU | Volume: 100 | Value: 23.89 | Open: 23.89 | High: 23.89 | SharesOut.: 2575003 | Beta: N/A | Prev.Close: 24.06 | Low: 23.89 | MarketCap: 61516822 | VWAP: 23.89 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Hammond Manufacturing Company Limited | HMM.A | Volume: 37050 | Value: 2.53 | Open: 2.45 | High: 2.87 | SharesOut.: 8556000 | Beta: 0.148 | Prev.Close: 2.45 | Low: 2.45 | MarketCap: 21646680 | VWAP: 2.591000 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 6.000 | EPS: 0.410000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.598 | Exchange: TSX | 
Hammond Power Solutions Inc. | HPS.A | Volume: 11855 | Value: 8.44 | Open: 9.00 | High: 9.00 | SharesOut.: 8966624 | Beta: -0.093 | Prev.Close: 9.05 | Low: 8.44 | MarketCap: 75678307 | VWAP: 8.576624 | Dividend: 0.060CAD | Div.Frequency: Quarterly | P/ERatio: 17.400 | EPS: 0.520000 | Yield: 2.844 | Ex-DivDate: 06/12/2018 | P/BRatio: 0.829 | Exchange: TSX | 
Hanwei Energy Services Corp. | HE | Volume: 0 | Value: 0.035 | Open: N/A | High: N/A | SharesOut.: 194201234 | Beta: -0.121 | Prev.Close: 0.035 | Low: N/A | MarketCap: 6797043 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.500 | Exchange: TSX | 
Hardwoods Distribution Inc. | HDI | Volume: 24954 | Value: 17.04 | Open: 17.19 | High: 17.27 | SharesOut.: 21465494 | Beta: 0.350 | Prev.Close: 17.27 | Low: 17.02 | MarketCap: 365772018 | VWAP: 17.139698 | Dividend: 0.073CAD | Div.Frequency: Quarterly | P/ERatio: 12.200 | EPS: 1.400000 | Yield: 1.702 | Ex-DivDate: 07/13/2018 | P/BRatio: 1.453 | Exchange: TSX | 
Harte Gold Corp. | HRT | Volume: 562903 | Value: 0.36 | Open: 0.38 | High: 0.38 | SharesOut.: 575451200 | Beta: 4.883 | Prev.Close: 0.37 | Low: 0.355 | MarketCap: 207162432 | VWAP: 0.364043 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.00 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.800 | Exchange: TSX | 
Harvest Banks & Buildings Income ETF | HCBB | Volume: 0 | Value: 20.31 | Open: N/A | High: N/A | SharesOut.: 100000 | Beta: 0.182 | Prev.Close: 20.31 | Low: N/A | MarketCap: 2031000 | VWAP: N/A | Dividend: 0.092CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.412 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Harvest Brand Leaders Plus Income ETF | HBF | Volume: 41988 | Value: 8.98 | Open: 9.09 | High: 9.11 | SharesOut.: 10772334 | Beta: 1.266 | Prev.Close: 9.05 | Low: 8.98 | MarketCap: 96735559 | VWAP: 9.054711 | Dividend: 0.054CAD | Div.Frequency: Monthly | P/ERatio: 23.900 | EPS: N/A | Yield: 7.243 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.420 | Exchange: TSX | 
Harvest Energy Leaders Plus Income ETF | HPF | Volume: 6051 | Value: 5.50 | Open: 5.47 | High: 5.55 | SharesOut.: 4652271 | Beta: 1.868 | Prev.Close: 5.44 | Low: 5.47 | MarketCap: 25587491 | VWAP: 5.513333 | Dividend: 0.030CAD | Div.Frequency: Monthly | P/ERatio: 20.100 | EPS: N/A | Yield: 9.633 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.060 | Exchange: TSX | 
Harvest European Leaders Income ETF | HEUR | Volume: 300 | Value: 20.27 | Open: 20.29 | High: 20.29 | SharesOut.: 100000 | Beta: -0.469 | Prev.Close: 20.40 | Low: 20.27 | MarketCap: 2027000 | VWAP: 20.283333 | Dividend: 0.083CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.931 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
Harvest Global REIT Leaders Income ETF | HGR | Volume: 0 | Value: 9.64 | Open: N/A | High: N/A | SharesOut.: 500000 | Beta: 0.660 | Prev.Close: 9.64 | Low: N/A | MarketCap: 4820000 | VWAP: N/A | Dividend: 0.046CAD | Div.Frequency: Monthly | P/ERatio: 12.600 | EPS: N/A | Yield: 5.701 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.630 | Exchange: TSX | 
Harvest Global Resource Leaders ETF | HRES | Volume: 2900 | Value: 18.36 | Open: 18.46 | High: 18.46 | SharesOut.: 700000 | Beta: 3.693 | Prev.Close: 18.38 | Low: 18.36 | MarketCap: 12852000 | VWAP: 18.411724 | Dividend: 0.200CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 3.510 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
