Alderon Iron Ore Corp. | IRON | Volume: 6200 | Value: 0.33 | Open: 0.33 | High: 0.335 | SharesOut.: 133471850 | Beta: 1.603 | Prev.Close: 0.34 | Low: 0.33 | MarketCap: 44045711 | VWAP: 0.33125 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.730000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.516 | Exchange: TSX | 
BMO Global Insurance Hedged to CAD Index ETF | INSR | Volume: 41140 | Value: 21.05 | Open: 21.30 | High: 21.30 | SharesOut.: 2198900 | Beta: 0.166 | Prev.Close: 21.37 | Low: 21.05 | MarketCap: 46286845 | VWAP: 21.217317 | Dividend: 0.115CAD | Div.Frequency: Quarterly | P/ERatio: 13.300 | EPS: N/A | Yield: 1.634 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.220 | Exchange: TSX | 
Canlan Ice Sports Corp. | ICE | Volume: 310 | Value: 4.85 | Open: 4.84 | High: 4.85 | SharesOut.: 13336999 | Beta: -0.632 | Prev.Close: 4.84 | Low: 4.84 | MarketCap: 64684445 | VWAP: 4.846667 | Dividend: 0.025CAD | Div.Frequency: Quarterly | P/ERatio: 13.800 | EPS: 0.270000 | Yield: 2.062 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.307 | Exchange: TSX | 
Horizons Inovestor Canadian Equity Index ETF | INOC | Volume: 7183 | Value: 10.30 | Open: 10.31 | High: 10.31 | SharesOut.: 3100003 | Beta: 0.631 | Prev.Close: 10.34 | Low: 10.28 | MarketCap: 31930031 | VWAP: 10.298714 | Dividend: 0.045CAD | Div.Frequency: Quarterly | P/ERatio: 13.600 | EPS: N/A | Yield: 1.727 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.120 | Exchange: TSX | 
IAMGOLD Corporation | IMG | Volume: 1466404 | Value: 7.50 | Open: 7.52 | High: 7.64 | SharesOut.: 466554900 | Beta: 2.171 | Prev.Close: 7.62 | Low: 7.49 | MarketCap: 3499161750 | VWAP: 7.534830 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 4.800 | EPS: 1.550000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.931 | Exchange: TSX | 
IBI Group Inc. | IBG | Volume: 61956 | Value: 6.69 | Open: 6.75 | High: 6.75 | SharesOut.: 31220877 | Beta: 1.541 | Prev.Close: 6.75 | Low: 6.69 | MarketCap: 208867667 | VWAP: 6.744725 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 16.900 | EPS: 0.400000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 11.534 | Exchange: TSX | 
iFabric Corp. | IFA | Volume: 1000 | Value: 2.75 | Open: 2.76 | High: 2.76 | SharesOut.: 26199500 | Beta: -0.903 | Prev.Close: 2.75 | Low: 2.75 | MarketCap: 72048625 | VWAP: 2.751 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 28.400 | EPS: 0.100000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 6.395 | Exchange: TSX | 
IGM Financial Inc. | IGM | Volume: 264807 | Value: 38.73 | Open: 39.14 | High: 39.14 | SharesOut.: 240808478 | Beta: 1.340 | Prev.Close: 39.00 | Low: 38.60 | MarketCap: 9326512353 | VWAP: 38.792498 | Dividend: 0.563CAD | Div.Frequency: Quarterly | P/ERatio: 15.400 | EPS: 2.530000 | Yield: 5.809 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.177 | Exchange: TSX | 
Imperial Metals Corporation | III | Volume: 14740 | Value: 1.85 | Open: 1.86 | High: 1.87 | SharesOut.: 117675160 | Beta: 2.008 | Prev.Close: 1.86 | Low: 1.83 | MarketCap: 217699046 | VWAP: 1.843537 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 2.100 | EPS: 0.820000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.429 | Exchange: TSX | 
Imperial Oil Limited | IMO | Volume: 1039018 | Value: 43.47 | Open: 43.80 | High: 43.97 | SharesOut.: 812485139 | Beta: 1.159 | Prev.Close: 43.51 | Low: 43.40 | MarketCap: 35318728992 | VWAP: 43.669391 | Dividend: 0.190CAD | Div.Frequency: Quarterly | P/ERatio: 53.700 | EPS: 0.580000 | Yield: 1.748 | Ex-DivDate: 05/31/2018 | P/BRatio: 1.457 | Exchange: TSX | 
IMV Inc. | IMV | Volume: 37022 | Value: 6.64 | Open: 6.72 | High: 6.85 | SharesOut.: 43197120 | Beta: 2.062 | Prev.Close: 6.76 | Low: 6.60 | MarketCap: 286828877 | VWAP: 6.716504 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.100000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 17.026 | Exchange: TSX | 
