Corvus Gold Inc. | KOR | Volume: 1506645 | Value: 2.22 | Open: 2.10 | High: 2.30 | SharesOut.: 105985945 | Beta: 3.393 | Prev.Close: 2.12 | Low: 2.00 | MarketCap: 235288798 | VWAP: 2.065332 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.090000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 24.667 | Exchange: TSX | 
Crius Energy Trust | KWH.UN | Volume: 87793 | Value: 7.30 | Open: 7.26 | High: 7.30 | SharesOut.: 57030067 | Beta: 0.389 | Prev.Close: 7.23 | Low: 7.25 | MarketCap: 416319489 | VWAP: 7.270241 | Dividend: 0.070CAD | Div.Frequency: Monthly | P/ERatio: 6.300 | EPS: 0.550000 | Yield: 11.458 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.225 | Exchange: TSX | 
K-Bro Linen Inc. | KBL | Volume: 6220 | Value: 37.145 | Open: 37.35 | High: 37.52 | SharesOut.: 10559936 | Beta: 0.252 | Prev.Close: 37.35 | Low: 37.10 | MarketCap: 392248823 | VWAP: 37.218548 | Dividend: 0.100CAD | Div.Frequency: Monthly | P/ERatio: 71.800 | EPS: 0.530000 | Yield: 3.231 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.915 | Exchange: TSX | 
Karnalyte Resources Inc. | KRN | Volume: 3385 | Value: 0.385 | Open: 0.38 | High: 0.39 | SharesOut.: 28116565 | Beta: 3.268 | Prev.Close: 0.48 | Low: 0.38 | MarketCap: 10824878 | VWAP: 0.384167 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.14 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.631 | Exchange: TSX | 
Katanga Mining Limited | KAT | Volume: 909320 | Value: 1.01 | Open: 1.05 | High: 1.05 | SharesOut.: 1907380413 | Beta: 0.694 | Prev.Close: 1.06 | Low: 0.96 | MarketCap: 1926454217 | VWAP: 0.999901 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.390000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.156 | Exchange: TSX | 
Keg Royalties Income Fund (The) | KEG.UN | Volume: 10729 | Value: 17.65 | Open: 17.74 | High: 17.78 | SharesOut.: 11353500 | Beta: 0.533 | Prev.Close: 17.73 | Low: 17.65 | MarketCap: 200389275 | VWAP: 17.721058 | Dividend: 0.095CAD | Div.Frequency: Monthly | P/ERatio: 9.900 | EPS: 1.800000 | Yield: 6.432 | Ex-DivDate: 06/20/2018 | P/BRatio: 2.234 | Exchange: TSX | 
Kelso Technologies Inc. | KLS | Volume: 61873 | Value: 0.56 | Open: 0.60 | High: 0.60 | SharesOut.: 47170086 | Beta: 1.663 | Prev.Close: 0.60 | Low: 0.56 | MarketCap: 26415248 | VWAP: 0.577642 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.14 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.667 | Exchange: TSX | 
Kelt Exploration Ltd. | KEL | Volume: 1220877 | Value: 9.13 | Open: 8.95 | High: 9.30 | SharesOut.: 183542754 | Beta: 3.024 | Prev.Close: 8.79 | Low: 8.95 | MarketCap: 1675745344 | VWAP: 9.147432 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.120000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.922 | Exchange: TSX | 
Kerr Mines Inc. | KER | Volume: 22519 | Value: 0.20 | Open: 0.21 | High: 0.215 | SharesOut.: 255785168 | Beta: 2.685 | Prev.Close: 0.21 | Low: 0.20 | MarketCap: 51157034 | VWAP: 0.208889 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 5.000 | Exchange: TSX | 
Kew Media Group Inc. | KEW | Volume: 6450 | Value: 7.65 | Open: 7.75 | High: 7.75 | SharesOut.: 12291039 | Beta: 0.759 | Prev.Close: 7.82 | Low: 7.65 | MarketCap: 94026448 | VWAP: 7.690938 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -2.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.992 | Exchange: TSX | 
Keyera Corp. | KEY | Volume: 415005 | Value: 36.43 | Open: 36.26 | High: 36.71 | SharesOut.: 206855583 | Beta: 1.094 | Prev.Close: 36.23 | Low: 36.26 | MarketCap: 7535748889 | VWAP: 36.529252 | Dividend: 0.140CAD | Div.Frequency: Monthly | P/ERatio: 25.200 | EPS: 1.440000 | Yield: 4.612 | Ex-DivDate: 06/21/2018 | P/BRatio: 2.969 | Exchange: TSX | 
