CIBT Education Group Inc. | MBA | Volume: 0 | Value: 0.75 | Open: N/A | High: N/A | SharesOut.: 78878540 | Beta: -0.003 | Prev.Close: 0.75 | Low: N/A | MarketCap: 59158905 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.786 | Exchange: TSX | 
Excelsior Mining Corp. | MIN | Volume: 400253 | Value: 1.10 | Open: 1.06 | High: 1.14 | SharesOut.: 206349152 | Beta: 1.286 | Prev.Close: 1.10 | Low: 1.06 | MarketCap: 226984067 | VWAP: 1.100460 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.080000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 5.000 | Exchange: TSX | 
First Asset Can-Materials Covered Call ETF | MXF | Volume: 2561 | Value: 14.01 | Open: 14.01 | High: 14.01 | SharesOut.: 1063041 | Beta: 1.759 | Prev.Close: 13.98 | Low: 14.01 | MarketCap: 14893204 | VWAP: 14.01 | Dividend: 0.230CAD | Div.Frequency: Quarterly | P/ERatio: 17.300 | EPS: N/A | Yield: 6.218 | Ex-DivDate: 06/22/2018 | P/BRatio: 0.690 | Exchange: TSX | 
Genworth MI Canada Inc. | MIC | Volume: 185970 | Value: 42.60 | Open: 42.86 | High: 43.12 | SharesOut.: 89792327 | Beta: 1.829 | Prev.Close: 42.76 | Low: 42.50 | MarketCap: 3825153130 | VWAP: 42.780632 | Dividend: 0.470CAD | Div.Frequency: Quarterly | P/ERatio: 7.100 | EPS: 6.010000 | Yield: 4.413 | Ex-DivDate: 05/11/2018 | P/BRatio: 0.964 | Exchange: TSX | 
Healthcare Special Opportunities Fund | MDS.UN | Volume: 0 | Value: 12.38 | Open: N/A | High: N/A | SharesOut.: 3983353 | Beta: 1.078 | Prev.Close: 12.38 | Low: N/A | MarketCap: 49313910 | VWAP: N/A | Dividend: 0.057CAD | Div.Frequency: Quarterly | P/ERatio: 9.000 | EPS: 1.300000 | Yield: 1.835 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.153 | Exchange: TSX | 
Horizons Active A.I. Global Equity ETF | MIND | Volume: 252 | Value: 26.10 | Open: 26.15 | High: 26.15 | SharesOut.: 550000 | Beta: 0.482 | Prev.Close: 26.16 | Low: 26.10 | MarketCap: 14355000 | VWAP: 26.125 | Dividend: 0.266CAD | Div.Frequency: Quarterly | P/ERatio: 16.400 | EPS: N/A | Yield: 4.078 | Ex-DivDate: 12/28/2017 | P/BRatio: 1.880 | Exchange: TSX | 
M Split Corp. | XMF.A | Volume: 0 | Value: 0.30 | Open: N/A | High: N/A | SharesOut.: 3148189 | Beta: 0.578 | Prev.Close: 0.30 | Low: N/A | MarketCap: 944457 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.00 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -0.052 | Exchange: TSX | 
Mackenzie Canadian Aggregate Bond Index ETF | QBB | Volume: 100 | Value: 100.61 | Open: 100.61 | High: 100.61 | SharesOut.: 660000 | Beta: -0.084 | Prev.Close: 100.52 | Low: 100.61 | MarketCap: 66402600 | VWAP: 100.61 | Dividend: 0.225CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.683 | Ex-DivDate: 06/18/2018 | P/BRatio: N/A | Exchange: TSX | 
Mackenzie Canadian Equity Index ETF | QCN | Volume: 100 | Value: 99.35 | Open: 99.35 | High: 99.35 | SharesOut.: 160000 | Beta: 0.879 | Prev.Close: 99.93 | Low: 99.35 | MarketCap: 15896000 | VWAP: 99.35 | Dividend: 0.705CAD | Div.Frequency: Quarterly | P/ERatio: 15.800 | EPS: N/A | Yield: 1.775 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.810 | Exchange: TSX | 
Mackenzie Canadian Large Cap Equity Index ETF | QCE | Volume: 0 | Value: 100.68 | Open: N/A | High: N/A | SharesOut.: 1060000 | Beta: 0.912 | Prev.Close: 100.68 | Low: N/A | MarketCap: 106720800 | VWAP: N/A | Dividend: 0.748CAD | Div.Frequency: Quarterly | P/ERatio: 16.000 | EPS: N/A | Yield: 1.883 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.930 | Exchange: TSX | 
Mackenzie Canadian Short Term Fixed Income ETF | MCSB | Volume: 4000 | Value: 20.03 | Open: 20.03 | High: 20.03 | SharesOut.: 350000 | Beta: 0.063 | Prev.Close: 20.02 | Low: 20.03 | MarketCap: 7010500 | VWAP: 20.03 | Dividend: 0.035CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.039 | Ex-DivDate: 06/18/2018 | P/BRatio: N/A | Exchange: TSX | 
