First Asset Energy Giants Covered Call ETF | NXF | Volume: 6189 | Value: 8.50 | Open: 8.58 | High: 8.58 | SharesOut.: 2527939 | Beta: 1.649 | Prev.Close: 8.39 | Low: 8.47 | MarketCap: 21487482 | VWAP: 8.528689 | Dividend: 0.153CAD | Div.Frequency: Quarterly | P/ERatio: 24.400 | EPS: N/A | Yield: 6.068 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.630 | Exchange: TSX | 
First Asset North American Convertibles Fund | NCD.UN | Volume: 0 | Value: 7.10 | Open: N/A | High: N/A | SharesOut.: 1608625 | Beta: 0.549 | Prev.Close: 7.10 | Low: N/A | MarketCap: 11421238 | VWAP: N/A | Dividend: 0.125CAD | Div.Frequency: Quarterly | P/ERatio: 16.900 | EPS: 0.590000 | Yield: 7.042 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.958 | Exchange: TSX | 
National Bank of Canada | NA | Volume: 747220 | Value: 63.11 | Open: 62.95 | High: 63.51 | SharesOut.: 339377539 | Beta: 1.255 | Prev.Close: 62.83 | Low: 62.77 | MarketCap: 21418116486 | VWAP: 63.190034 | Dividend: 0.620CAD | Div.Frequency: Quarterly | P/ERatio: 11.300 | EPS: 5.730000 | Yield: 3.930 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.981 | Exchange: TSX | 
Nautilus Minerals Inc. | NUS | Volume: 500 | Value: 0.195 | Open: 0.195 | High: 0.195 | SharesOut.: 710015858 | Beta: 2.348 | Prev.Close: 0.20 | Low: 0.195 | MarketCap: 138453092 | VWAP: 0.195 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.415 | Exchange: TSX | 
NDX Growth & Income Fund | NGI.UN | Volume: 0 | Value: 9.01 | Open: N/A | High: N/A | SharesOut.: 1451713 | Beta: 0.416 | Prev.Close: 9.01 | Low: N/A | MarketCap: 13079934 | VWAP: N/A | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: 2.00 | Yield: 6.659 | Ex-DivDate: 06/14/2018 | P/BRatio: N/A | Exchange: TSX | 
Nemaska Lithium Inc. | NMX | Volume: 1952852 | Value: 0.84 | Open: 0.87 | High: 0.87 | SharesOut.: 845747588 | Beta: 2.149 | Prev.Close: 0.87 | Low: 0.83 | MarketCap: 710427974 | VWAP: 0.846140 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 4.200 | Exchange: TSX | 
Neo Performance Materials Inc. | NEO | Volume: 40425 | Value: 15.98 | Open: 16.20 | High: 16.34 | SharesOut.: 39904477 | Beta: 1.229 | Prev.Close: 16.31 | Low: 15.77 | MarketCap: 637673542 | VWAP: 16.025360 | Dividend: 0.095CAD | Div.Frequency: Quarterly | P/ERatio: 20.900 | EPS: 0.810000 | Yield: 2.378 | Ex-DivDate: 06/21/2018 | P/BRatio: 1.160 | Exchange: TSX | 
Neovasc Inc. | NVCN | Volume: 903611 | Value: 0.06 | Open: 0.055 | High: 0.06 | SharesOut.: 1860184719 | Beta: 3.690 | Prev.Close: 0.055 | Low: 0.055 | MarketCap: 111611083 | VWAP: 0.057996 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.450000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -3.000 | Exchange: TSX | 
Neptune Technologies & Bioressources Inc. | NEPT | Volume: 597946 | Value: 4.23 | Open: 4.51 | High: 4.62 | SharesOut.: 78827624 | Beta: 0.726 | Prev.Close: 4.60 | Low: 4.19 | MarketCap: 333440850 | VWAP: 4.366642 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 20.900 | EPS: 0.090000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.711 | Exchange: TSX | 
Nevada Copper Corp. | NCU | Volume: 175807 | Value: 0.70 | Open: 0.71 | High: 0.72 | SharesOut.: 445150682 | Beta: 3.109 | Prev.Close: 0.71 | Low: 0.69 | MarketCap: 311605477 | VWAP: 0.703114 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.090000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.129 | Exchange: TSX | 
Nevsun Resources Ltd. | NSU | Volume: 643169 | Value: 4.33 | Open: 4.31 | High: 4.365 | SharesOut.: 302321670 | Beta: 1.724 | Prev.Close: 4.30 | Low: 4.28 | MarketCap: 1309052831 | VWAP: 4.324263 | Dividend: 0.010USD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.25 | Yield: 1.187 | Ex-DivDate: 12/28/2017 | P/BRatio: 1.230 | Exchange: TSX | 
New Gold Inc. | NGD | Volume: 1270177 | Value: 2.72 | Open: 2.67 | High: 2.74 | SharesOut.: 578748338 | Beta: 1.400 | Prev.Close: 2.67 | Low: 2.66 | MarketCap: 1574195479 | VWAP: 2.705126 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.390000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.560 | Exchange: TSX | 
New Look Vision Group Inc. | BCI | Volume: 100 | Value: 33.25 | Open: 33.25 | High: 33.25 | SharesOut.: 15514839 | Beta: 0.624 | Prev.Close: 33.24 | Low: 33.25 | MarketCap: 515868397 | VWAP: 33.25 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: 43.700 | EPS: 0.770000 | Yield: 1.805 | Ex-DivDate: 06/21/2018 | P/BRatio: 4.136 | Exchange: TSX | 
New Millennium Iron Corp. | NML | Volume: 78000 | Value: 0.065 | Open: 0.065 | High: 0.07 | SharesOut.: 181054146 | Beta: 2.575 | Prev.Close: 0.07 | Low: 0.065 | MarketCap: 11768519 | VWAP: 0.065974 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.210000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.433 | Exchange: TSX | 
Newalta Corporation | NAL | Volume: 16800 | Value: 1.29 | Open: 1.26 | High: 1.30 | SharesOut.: 88148148 | Beta: 1.873 | Prev.Close: 1.28 | Low: 1.26 | MarketCap: 113711111 | VWAP: 1.280238 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.550000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.694 | Exchange: TSX | 
Newfoundland Capital Corporation Limited | NCC.A | Volume: 698 | Value: 13.88 | Open: 13.74 | High: 13.89 | SharesOut.: 21524933 | Beta: 0.264 | Prev.Close: 13.70 | Low: 13.74 | MarketCap: 298766070 | VWAP: 13.829167 | Dividend: 0.250CAD | Div.Frequency: Semi-Annual | P/ERatio: 12.900 | EPS: 1.040000 | Yield: 3.602 | Ex-DivDate: 12/28/2017 | P/BRatio: 2.129 | Exchange: TSX | 
Newgrowth Corp. | NEW.A | Volume: 0 | Value: 42.00 | Open: N/A | High: N/A | SharesOut.: 1425032 | Beta: 1.698 | Prev.Close: 42.00 | Low: N/A | MarketCap: 59851344 | VWAP: N/A | Dividend: 0.350CAD | Div.Frequency: Quarterly | P/ERatio: 9.300 | EPS: 4.540000 | Yield: 3.333 | Ex-DivDate: 06/21/2018 | P/BRatio: 0.915 | Exchange: TSX | 
Nexa Resources S.A. | NEXA | Volume: 500 | Value: 16.04 | Open: 16.65 | High: 16.65 | SharesOut.: 133320513 | Beta: -1.682 | Prev.Close: 16.90 | Low: 15.84 | MarketCap: 2138461029 | VWAP: 16.236000 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 8.700 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.654 | Exchange: TSX | 
NexGen Energy Ltd. | NXE | Volume: 532442 | Value: 2.42 | Open: 2.47 | High: 2.53 | SharesOut.: 344098068 | Beta: 3.619 | Prev.Close: 2.47 | Low: 2.39 | MarketCap: 832717325 | VWAP: 2.440767 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.170000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 4.840 | Exchange: TSX | 
NexJ Systems Inc. | NXJ | Volume: 0 | Value: 2.10 | Open: N/A | High: N/A | SharesOut.: 21015922 | Beta: 1.606 | Prev.Close: 2.10 | Low: N/A | MarketCap: 44133436 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.090000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.763 | Exchange: TSX | 
NextSource Materials Inc. | NEXT | Volume: 99061 | Value: 0.10 | Open: 0.105 | High: 0.105 | SharesOut.: 468933611 | Beta: -3.646 | Prev.Close: 0.10 | Low: 0.09 | MarketCap: 46893361 | VWAP: 0.097704 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.00 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 136.880 | Exchange: TSX | 
NFI Group Inc. | NFI | Volume: 546620 | Value: 48.06 | Open: 47.66 | High: 48.57 | SharesOut.: 63013905 | Beta: 0.066 | Prev.Close: 47.63 | Low: 47.575 | MarketCap: 3028448274 | VWAP: 48.175414 | Dividend: 0.375CAD | Div.Frequency: Quarterly | P/ERatio: 12.700 | EPS: 3.330000 | Yield: 3.121 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.900 | Exchange: TSX | 
NGEx Resources Inc. | NGQ | Volume: 16100 | Value: 1.06 | Open: 1.08 | High: 1.14 | SharesOut.: 226370653 | Beta: 2.045 | Prev.Close: 1.08 | Low: 1.06 | MarketCap: 239952892 | VWAP: 1.090311 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 13.250 | Exchange: TSX | 
Nickel Creek Platinum Corp. | NCP | Volume: 99370 | Value: 0.215 | Open: 0.225 | High: 0.23 | SharesOut.: 236569139 | Beta: 0.355 | Prev.Close: 0.23 | Low: 0.20 | MarketCap: 50862365 | VWAP: 0.219137 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.860 | Exchange: TSX | 
