Big Pharma Split Corp. | PRM | Volume: 1400 | Value: 12.32 | Open: 12.32 | High: 12.32 | SharesOut.: 1360000 | Beta: 1.029 | Prev.Close: 12.40 | Low: 12.32 | MarketCap: 16755200 | VWAP: 12.32 | Dividend: 0.103CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 10.042 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.870 | Exchange: TSX | 
BlackPearl Resources Inc. | PXX | Volume: 466953 | Value: 1.45 | Open: 1.41 | High: 1.45 | SharesOut.: 336632573 | Beta: 2.018 | Prev.Close: 1.40 | Low: 1.38 | MarketCap: 488117231 | VWAP: 1.432350 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.00 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.771 | Exchange: TSX | 
Canadian Preferred Share Trust | PFT.UN | Volume: 6000 | Value: 9.86 | Open: 9.86 | High: 9.86 | SharesOut.: 2599703 | Beta: 1.067 | Prev.Close: 9.86 | Low: 9.86 | MarketCap: 25633072 | VWAP: 9.860000 | Dividend: 0.033CAD | Div.Frequency: Monthly | P/ERatio: 4.000 | EPS: 2.470000 | Yield: 4.053 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.984 | Exchange: TSX | 
Canso Credit Income Fund | PBY.UN | Volume: 39050 | Value: 11.85 | Open: 11.99 | High: 12.00 | SharesOut.: 13165739 | Beta: 0.408 | Prev.Close: 11.98 | Low: 11.85 | MarketCap: 156014007 | VWAP: 11.871590 | Dividend: 0.042CAD | Div.Frequency: Monthly | P/ERatio: 15.200 | EPS: 1.230000 | Yield: 4.219 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.009 | Exchange: TSX | 
CounterPath Corporation | PATH | Volume: 0 | Value: 3.00 | Open: N/A | High: N/A | SharesOut.: 5935872 | Beta: -0.345 | Prev.Close: 3.00 | Low: N/A | MarketCap: 17807616 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.650000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.310 | Exchange: TSX | 
CPI Card Group Inc. | PMTS | Volume: 300 | Value: 3.01 | Open: 3.01 | High: 3.01 | SharesOut.: 11134714 | Beta: 0.174 | Prev.Close: 2.99 | Low: 3.01 | MarketCap: 33515489 | VWAP: 3.01 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Lysander-Slater Preferred Share ActivETF | PR | Volume: 37075 | Value: 10.50 | Open: 10.51 | High: 10.51 | SharesOut.: 10719000 | Beta: 0.626 | Prev.Close: 10.50 | Low: 10.50 | MarketCap: 112549500 | VWAP: 10.500649 | Dividend: 0.037CAD | Div.Frequency: Monthly | P/ERatio: 28.100 | EPS: N/A | Yield: 6.872 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.410 | Exchange: TSX | 
North American Palladium Ltd. | PDL | Volume: 5965 | Value: 9.77 | Open: 10.27 | High: 10.50 | SharesOut.: 58126526 | Beta: 2.517 | Prev.Close: 10.22 | Low: 9.62 | MarketCap: 567896159 | VWAP: 9.998103 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 14.800 | EPS: 0.690000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.267 | Exchange: TSX | 
Painted Pony Energy Ltd. | PONY | Volume: 575604 | Value: 2.37 | Open: 2.26 | High: 2.39 | SharesOut.: 160995692 | Beta: 1.695 | Prev.Close: 2.26 | Low: 2.26 | MarketCap: 381559790 | VWAP: 2.344462 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 6.100 | EPS: 0.25 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.355 | Exchange: TSX | 
Pan American Silver Corp. | PAAS | Volume: 91897 | Value: 23.53 | Open: 23.27 | High: 23.61 | SharesOut.: 153323594 | Beta: 1.899 | Prev.Close: 23.38 | Low: 23.27 | MarketCap: 3607704167 | VWAP: 23.494797 | Dividend: 0.035USD | Div.Frequency: Quarterly | P/ERatio: 18.800 | EPS: 1.030000 | Yield: 0.760 | Ex-DivDate: 05/18/2018 | P/BRatio: 1.740 | Exchange: TSX | 
Paramount Resources Ltd. | POU | Volume: 559316 | Value: 15.61 | Open: 15.38 | High: 15.80 | SharesOut.: 133667105 | Beta: 3.922 | Prev.Close: 15.11 | Low: 15.28 | MarketCap: 2086543509 | VWAP: 15.527293 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 20.700 | EPS: 0.790000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.890 | Exchange: TSX | 
Parex Resources Inc. | PXT | Volume: 951681 | Value: 23.98 | Open: 24.16 | High: 24.50 | SharesOut.: 156029467 | Beta: 2.363 | Prev.Close: 24.03 | Low: 23.98 | MarketCap: 3741586619 | VWAP: 24.226462 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 15.600 | EPS: 1.310000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.921 | Exchange: TSX | 
Park Lawn Corporation | PLC | Volume: 35654 | Value: 24.23 | Open: 24.50 | High: 24.50 | SharesOut.: 23102429 | Beta: 0.087 | Prev.Close: 24.30 | Low: 24.10 | MarketCap: 559771855 | VWAP: 24.332764 | Dividend: 0.038CAD | Div.Frequency: Monthly | P/ERatio: 73.600 | EPS: 0.320000 | Yield: 1.882 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.847 | Exchange: TSX | 
Parkland Fuel Corporation | PKI | Volume: 313795 | Value: 33.04 | Open: 32.10 | High: 33.11 | SharesOut.: 131863022 | Beta: 0.414 | Prev.Close: 32.42 | Low: 32.10 | MarketCap: 4356754247 | VWAP: 32.883967 | Dividend: 0.098CAD | Div.Frequency: Monthly | P/ERatio: 50.700 | EPS: 0.620000 | Yield: 3.552 | Ex-DivDate: 06/21/2018 | P/BRatio: 2.652 | Exchange: TSX | 
Partners Real Estate Investment Trust | PAR.UN | Volume: 11849 | Value: 3.05 | Open: 3.05 | High: 3.05 | SharesOut.: 45935142 | Beta: 0.089 | Prev.Close: 3.02 | Low: 3.04 | MarketCap: 140102183 | VWAP: 3.047094 | Dividend: 0.021CAD | Div.Frequency: Monthly | P/ERatio: 302.000 | EPS: 0.090000 | Yield: 8.195 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.786 | Exchange: TSX | 
Partners Value Split Corp. | PVS.PR.B | Volume: 800 | Value: 25.14 | Open: 25.14 | High: 25.14 | SharesOut.: 7631100 | Beta: 0.080 | Prev.Close: 25.10 | Low: 25.14 | MarketCap: 191845854 | VWAP: 25.14 | Dividend: 0.272CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 4.326 | Ex-DivDate: 05/18/2018 | P/BRatio: N/A | Exchange: TSX | 
Pason Systems Inc. | PSI | Volume: 132139 | Value: 21.65 | Open: 21.76 | High: 21.96 | SharesOut.: 85243887 | Beta: 1.398 | Prev.Close: 21.69 | Low: 21.60 | MarketCap: 1845530154 | VWAP: 21.731279 | Dividend: 0.170CAD | Div.Frequency: Quarterly | P/ERatio: 60.300 | EPS: 0.370000 | Yield: 3.141 | Ex-DivDate: 06/14/2018 | P/BRatio: 5.192 | Exchange: TSX | 
Pathfinder Income Fund | PCD.UN | Volume: 2900 | Value: 8.10 | Open: 8.24 | High: 8.24 | SharesOut.: 3880668 | Beta: 0.514 | Prev.Close: 8.08 | Low: 8.07 | MarketCap: 31433411 | VWAP: 8.126552 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.450000 | Yield: 7.407 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.931 | Exchange: TSX | 
Pattern Energy Group Inc. | PEGI | Volume: 18821 | Value: 25.45 | Open: 25.60 | High: 25.63 | SharesOut.: 98274669 | Beta: 0.614 | Prev.Close: 25.59 | Low: 25.25 | MarketCap: 2501090326 | VWAP: 25.381613 | Dividend: 0.422USD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 8.525 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.590 | Exchange: TSX | 
Pembina Pipeline Corporation | PPL | Volume: 1050379 | Value: 45.65 | Open: 45.89 | High: 46.03 | SharesOut.: 503463651 | Beta: 1.039 | Prev.Close: 45.63 | Low: 45.605 | MarketCap: 22983115668 | VWAP: 45.759532 | Dividend: 0.190CAD | Div.Frequency: Monthly | P/ERatio: 22.900 | EPS: 1.890000 | Yield: 4.995 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.995 | Exchange: TSX | 
Pengrowth Energy Corporation | PGF | Volume: 686707 | Value: 0.93 | Open: 0.90 | High: 0.93 | SharesOut.: 556117090 | Beta: 4.707 | Prev.Close: 0.89 | Low: 0.88 | MarketCap: 517188894 | VWAP: 0.915173 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -1.130000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.660 | Exchange: TSX | 
Peregrine Diamonds Ltd. | PGD | Volume: 198125 | Value: 0.17 | Open: 0.165 | High: 0.17 | SharesOut.: 442151936 | Beta: 2.664 | Prev.Close: 0.16 | Low: 0.165 | MarketCap: 75165829 | VWAP: 0.167740 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.030000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 8.500 | Exchange: TSX | 
Perpetual Energy Inc. | PMT | Volume: 72000 | Value: 0.58 | Open: 0.51 | High: 0.59 | SharesOut.: 60202127 | Beta: 3.281 | Prev.Close: 0.53 | Low: 0.51 | MarketCap: 34917234 | VWAP: 0.570278 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.470000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.225 | Exchange: TSX | 
Perseus Mining Limited | PRU | Volume: 32000 | Value: 0.43 | Open: 0.425 | High: 0.43 | SharesOut.: 1034440785 | Beta: 1.938 | Prev.Close: 0.43 | Low: 0.42 | MarketCap: 444809538 | VWAP: 0.426328 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Pershing Gold Corporation | PGLC | Volume: 1100 | Value: 2.39 | Open: 2.42 | High: 2.42 | SharesOut.: 33554189 | Beta: -0.414 | Prev.Close: 2.46 | Low: 2.39 | MarketCap: 80194512 | VWAP: 2.416364 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.690 | Exchange: TSX | 
Petrus Resources Ltd. | PRQ | Volume: 30800 | Value: 1.10 | Open: 1.13 | High: 1.13 | SharesOut.: 49491982 | Beta: 2.627 | Prev.Close: 1.10 | Low: 1.10 | MarketCap: 54441180 | VWAP: 1.119123 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -2.550000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.375 | Exchange: TSX | 
Peyto Exploration & Development Corp. | PEY | Volume: 992092 | Value: 10.32 | Open: 10.50 | High: 10.70 | SharesOut.: 164874175 | Beta: 1.255 | Prev.Close: 10.35 | Low: 10.27 | MarketCap: 1701501486 | VWAP: 10.499605 | Dividend: 0.060CAD | Div.Frequency: Monthly | P/ERatio: 9.300 | EPS: 1.12 | Yield: 6.977 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.987 | Exchange: TSX | 
PFB Corporation | PFB | Volume: 300 | Value: 8.16 | Open: 8.16 | High: 8.16 | SharesOut.: 6716003 | Beta: -0.199 | Prev.Close: 8.16 | Low: 8.16 | MarketCap: 54802584 | VWAP: 8.16 | Dividend: 0.080CAD | Div.Frequency: Quarterly | P/ERatio: 22.100 | EPS: 0.340000 | Yield: 3.922 | Ex-DivDate: 05/23/2018 | P/BRatio: 1.091 | Exchange: TSX | 
Photon Control Inc. | PHO | Volume: 108740 | Value: 2.36 | Open: 2.36 | High: 2.38 | SharesOut.: 111267468 | Beta: 1.526 | Prev.Close: 2.35 | Low: 2.34 | MarketCap: 262591224 | VWAP: 2.354317 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 35.100 | EPS: 0.060000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 5.244 | Exchange: TSX | 
