AGFiQ Enhanced Core Canadian Equity ETF | QCD | Volume: 1400 | Value: 26.64 | Open: 26.64 | High: 26.64 | SharesOut.: 1825000 | Beta: 0.746 | Prev.Close: 26.75 | Low: 26.64 | MarketCap: 48618000 | VWAP: 26.64 | Dividend: 0.302CAD | Div.Frequency: Annual | P/ERatio: 16.300 | EPS: N/A | Yield: 1.133 | Ex-DivDate: 12/28/2017 | P/BRatio: 2.010 | Exchange: TSX | 
AGFiQ Enhanced Core Emerging Markets Equity ETF | QEM | Volume: 100 | Value: 29.82 | Open: 29.82 | High: 29.82 | SharesOut.: 1400000 | Beta: -0.100 | Prev.Close: 29.98 | Low: 29.82 | MarketCap: 41748000 | VWAP: 29.82 | Dividend: 0.372CAD | Div.Frequency: Annual | P/ERatio: 13.400 | EPS: N/A | Yield: 1.246 | Ex-DivDate: 12/28/2017 | P/BRatio: 2.100 | Exchange: TSX | 
AGFiQ Enhanced Core International Equity ETF | QIE | Volume: 0 | Value: 29.59 | Open: N/A | High: N/A | SharesOut.: 2625000 | Beta: 0.188 | Prev.Close: 29.59 | Low: N/A | MarketCap: 77673750 | VWAP: N/A | Dividend: 0.217CAD | Div.Frequency: Annual | P/ERatio: 16.500 | EPS: N/A | Yield: 0.732 | Ex-DivDate: 12/28/2017 | P/BRatio: 1.960 | Exchange: TSX | 
AGFiQ Enhanced Core US Equity ETF | QUS | Volume: 38101 | Value: 29.31 | Open: 29.31 | High: 29.31 | SharesOut.: 6200000 | Beta: 0.500 | Prev.Close: 29.46 | Low: 29.31 | MarketCap: 181722000 | VWAP: 29.31 | Dividend: 0.121CAD | Div.Frequency: Annual | P/ERatio: 21.400 | EPS: N/A | Yield: 0.411 | Ex-DivDate: 12/28/2017 | P/BRatio: 3.680 | Exchange: TSX | 
AGFiQ Global Equity Rotation ETF | QGL | Volume: 0 | Value: 29.36 | Open: N/A | High: N/A | SharesOut.: 125000 | Beta: 0.318 | Prev.Close: 29.36 | Low: N/A | MarketCap: 3670000 | VWAP: N/A | Dividend: 0.337CAD | Div.Frequency: Annual | P/ERatio: 16.300 | EPS: N/A | Yield: 1.149 | Ex-DivDate: 12/28/2017 | P/BRatio: 2.230 | Exchange: TSX | 
AGFiQ MultiAsset Allocation ETF | QMA | Volume: 0 | Value: 27.82 | Open: N/A | High: N/A | SharesOut.: 100000 | Beta: 0.312 | Prev.Close: 27.82 | Low: N/A | MarketCap: 2782000 | VWAP: N/A | Dividend: 0.409CAD | Div.Frequency: Annual | P/ERatio: 16.200 | EPS: N/A | Yield: 1.471 | Ex-DivDate: 12/28/2017 | P/BRatio: 2.220 | Exchange: TSX | 
AGFiQ MultiAsset Income Allocation ETF | QMY | Volume: 0 | Value: 25.74 | Open: N/A | High: N/A | SharesOut.: 125000 | Beta: 0.292 | Prev.Close: 25.74 | Low: N/A | MarketCap: 3217500 | VWAP: N/A | Dividend: 0.170CAD | Div.Frequency: Quarterly | P/ERatio: 10.500 | EPS: N/A | Yield: 3.325 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.510 | Exchange: TSX | 
First Asset Morningstar National Bank Quebec Index ETF | QXM | Volume: 1032 | Value: 20.62 | Open: 20.77 | High: 20.77 | SharesOut.: 3623791 | Beta: 0.650 | Prev.Close: 20.76 | Low: 20.62 | MarketCap: 74722570 | VWAP: 20.73625 | Dividend: 0.075CAD | Div.Frequency: Quarterly | P/ERatio: 13.300 | EPS: N/A | Yield: 1.040 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.000 | Exchange: TSX | 
Mackenzie Canadian Aggregate Bond Index ETF | QBB | Volume: 100 | Value: 100.61 | Open: 100.61 | High: 100.61 | SharesOut.: 660000 | Beta: -0.084 | Prev.Close: 100.52 | Low: 100.61 | MarketCap: 66402600 | VWAP: 100.61 | Dividend: 0.225CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.683 | Ex-DivDate: 06/18/2018 | P/BRatio: N/A | Exchange: TSX | 
Mackenzie Canadian Equity Index ETF | QCN | Volume: 100 | Value: 99.35 | Open: 99.35 | High: 99.35 | SharesOut.: 160000 | Beta: 0.879 | Prev.Close: 99.93 | Low: 99.35 | MarketCap: 15896000 | VWAP: 99.35 | Dividend: 0.705CAD | Div.Frequency: Quarterly | P/ERatio: 15.800 | EPS: N/A | Yield: 1.775 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.810 | Exchange: TSX | 
Mackenzie Canadian Large Cap Equity Index ETF | QCE | Volume: 0 | Value: 100.68 | Open: N/A | High: N/A | SharesOut.: 1060000 | Beta: 0.912 | Prev.Close: 100.68 | Low: N/A | MarketCap: 106720800 | VWAP: N/A | Dividend: 0.748CAD | Div.Frequency: Quarterly | P/ERatio: 16.000 | EPS: N/A | Yield: 1.883 | Ex-DivDate: 06/18/2018 | P/BRatio: 1.930 | Exchange: TSX | 
