Argex Titanium Inc. | RGX | Volume: 249000 | Value: 0.04 | Open: 0.04 | High: 0.04 | SharesOut.: 349980974 | Beta: 3.718 | Prev.Close: 0.04 | Low: 0.035 | MarketCap: 13999239 | VWAP: 0.037470 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 19.260 | Exchange: TSX | 
Blue Ribbon Income Fund | RBN.UN | Volume: 28098 | Value: 8.94 | Open: 9.00 | High: 9.01 | SharesOut.: 16626864 | Beta: 0.991 | Prev.Close: 8.95 | Low: 8.93 | MarketCap: 148644164 | VWAP: 8.985250 | Dividend: 0.050CAD | Div.Frequency: Monthly | P/ERatio: 37.300 | EPS: 1.030000 | Yield: 6.711 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.909 | Exchange: TSX | 
Canadian Resources Income Trust | RTU.UN | Volume: 4600 | Value: 8.80 | Open: 8.80 | High: 8.80 | SharesOut.: 1152620 | Beta: 1.512 | Prev.Close: 8.80 | Low: 8.80 | MarketCap: 10143056 | VWAP: 8.80 | Dividend: 0.043CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.430000 | Yield: 5.795 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.949 | Exchange: TSX | 
First Asset Canadian REIT ETF | RIT | Volume: 28748 | Value: 16.41 | Open: 16.46 | High: 16.46 | SharesOut.: 19396068 | Beta: 0.378 | Prev.Close: 16.45 | Low: 16.38 | MarketCap: 318289476 | VWAP: 16.412912 | Dividend: 0.068CAD | Div.Frequency: Monthly | P/ERatio: 8.400 | EPS: 1.510000 | Yield: 4.936 | Ex-DivDate: 06/22/2018 | P/BRatio: 0.980 | Exchange: TSX | 
First Asset MSCI Canada Low Risk Weighted ETF | RWC | Volume: 0 | Value: 12.04 | Open: N/A | High: N/A | SharesOut.: 704994 | Beta: 0.730 | Prev.Close: 12.04 | Low: N/A | MarketCap: 8488128 | VWAP: N/A | Dividend: 0.083CAD | Div.Frequency: Quarterly | P/ERatio: 15.800 | EPS: N/A | Yield: 2.568 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.800 | Exchange: TSX | 
First Asset MSCI Europe Low Risk Weighted ETF | RWE | Volume: 0 | Value: 26.24 | Open: N/A | High: N/A | SharesOut.: 2174820 | Beta: 0.473 | Prev.Close: 26.24 | Low: N/A | MarketCap: 57067277 | VWAP: N/A | Dividend: 0.141CAD | Div.Frequency: Quarterly | P/ERatio: 15.300 | EPS: N/A | Yield: 2.010 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.120 | Exchange: TSX | 
First Asset MSCI International Low Risk Weighted ETF | RWX | Volume: 1000 | Value: 20.50 | Open: 20.50 | High: 20.50 | SharesOut.: 250000 | Beta: 0.498 | Prev.Close: 20.25 | Low: 20.50 | MarketCap: 5125000 | VWAP: 20.50 | Dividend: 0.124CAD | Div.Frequency: Quarterly | P/ERatio: 14.000 | EPS: N/A | Yield: 2.191 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.700 | Exchange: TSX | 
First Asset MSCI USA Low Risk Weighted ETF | RWU | Volume: 0 | Value: 14.93 | Open: N/A | High: N/A | SharesOut.: 500165 | Beta: 0.487 | Prev.Close: 14.93 | Low: N/A | MarketCap: 7467463 | VWAP: N/A | Dividend: 0.055CAD | Div.Frequency: Quarterly | P/ERatio: 19.700 | EPS: N/A | Yield: 1.305 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.720 | Exchange: TSX | 
First Asset MSCI World Low Risk Weighted ETF | RWW | Volume: 5900 | Value: 27.77 | Open: 27.74 | High: 27.77 | SharesOut.: 2206969 | Beta: 0.386 | Prev.Close: 27.89 | Low: 27.74 | MarketCap: 61287529 | VWAP: 27.767966 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: 16.500 | EPS: N/A | Yield: 1.921 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.160 | Exchange: TSX | 
Horizons Robotics and Automation Index ETF | ROBO | Volume: 4434 | Value: 23.22 | Open: 23.53 | High: 23.61 | SharesOut.: 3300000 | Beta: 0.005 | Prev.Close: 23.36 | Low: 23.22 | MarketCap: 76626000 | VWAP: 23.448537 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 27.000 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.040 | Exchange: TSX | 
Middlefield Can-Global REIT Income Fund | RCO.UN | Volume: 0 | Value: 12.41 | Open: N/A | High: N/A | SharesOut.: 3138506 | Beta: 0.302 | Prev.Close: 12.41 | Low: N/A | MarketCap: 38948859 | VWAP: N/A | Dividend: 0.054CAD | Div.Frequency: Monthly | P/ERatio: 8.000 | EPS: 0.840000 | Yield: 5.237 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.043 | Exchange: TSX | 
