BMO Global Consumer Staples Hedged to CAD Index ETF | STPL | Volume: 0 | Value: 19.56 | Open: N/A | High: N/A | SharesOut.: 537000 | Beta: 0.433 | Prev.Close: 19.56 | Low: N/A | MarketCap: 10503720 | VWAP: N/A | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 14.500 | EPS: N/A | Yield: 1.583 | Ex-DivDate: 06/27/2018 | P/BRatio: 3.010 | Exchange: TSX | 
Brompton Split Banc Corp. | SBC | Volume: 3350 | Value: 13.95 | Open: 14.05 | High: 14.10 | SharesOut.: 7837901 | Beta: 1.572 | Prev.Close: 14.05 | Low: 13.95 | MarketCap: 109338719 | VWAP: 14.027879 | Dividend: 0.100CAD | Div.Frequency: Monthly | P/ERatio: 5.300 | EPS: 3.50 | Yield: 8.602 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.965 | Exchange: TSX | 
Canso Select Opportunities Fund | SCW.UN | Volume: 2400 | Value: 10.50 | Open: 10.56 | High: 10.56 | SharesOut.: 3210597 | Beta: 0.598 | Prev.Close: 10.56 | Low: 10.50 | MarketCap: 33711269 | VWAP: 10.51375 | Dividend: 0.042CAD | Div.Frequency: Monthly | P/ERatio: 7.000 | EPS: 1.300000 | Yield: 4.761 | Ex-DivDate: 07/27/2018 | P/BRatio: 0.943 | Exchange: TSX | 
Evolve Marijuana ETF | SEED | Volume: 7491 | Value: 16.39 | Open: 17.18 | High: 17.18 | SharesOut.: 265000 | Beta: 0.601 | Prev.Close: 17.45 | Low: 16.28 | MarketCap: 4343350 | VWAP: 16.657746 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
First Asset U.S. TrendLeaders Index ETF | SID | Volume: 3661 | Value: 22.80 | Open: 23.25 | High: 23.25 | SharesOut.: 2850000 | Beta: 0.316 | Prev.Close: 23.11 | Low: 22.80 | MarketCap: 64980000 | VWAP: 23.055000 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 31.200 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 6.220 | Exchange: TSX | 
iShares Silver Bullion ETF | SVR | Volume: 17516 | Value: 8.74 | Open: 8.86 | High: 8.88 | SharesOut.: 5500000 | Beta: 0.956 | Prev.Close: 8.88 | Low: 8.74 | MarketCap: 48070000 | VWAP: 8.817337 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -4.970000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
NXT Energy Solutions Inc. | SFD | Volume: 5500 | Value: 0.84 | Open: 0.79 | High: 0.84 | SharesOut.: 67378297 | Beta: 0.713 | Prev.Close: 0.77 | Low: 0.79 | MarketCap: 56597769 | VWAP: 0.826364 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.150000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.333 | Exchange: TSX | 
Purpose Short Duration Tactical Bond Fund | SBND | Volume: 0 | Value: 19.31 | Open: N/A | High: N/A | SharesOut.: 400000 | Beta: 0.090 | Prev.Close: 19.31 | Low: N/A | MarketCap: 7724000 | VWAP: N/A | Dividend: 0.060CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.590 | Ex-DivDate: 06/26/2018 | P/BRatio: N/A | Exchange: TSX | 
Purpose Silver Bullion Fund | SBT | Volume: 0 | Value: 9.73 | Open: N/A | High: N/A | SharesOut.: 100000 | Beta: 2.344 | Prev.Close: 9.73 | Low: N/A | MarketCap: 973000 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Purpose Strategic Yield Fund | SYLD | Volume: 0 | Value: 20.13 | Open: N/A | High: N/A | SharesOut.: 1725000 | Beta: -0.224 | Prev.Close: 20.13 | Low: N/A | MarketCap: 34724250 | VWAP: N/A | Dividend: 0.097CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 5.782 | Ex-DivDate: 06/26/2018 | P/BRatio: 6.610 | Exchange: TSX | 
S Split Corp. | SBN | Volume: 0 | Value: 6.90 | Open: N/A | High: N/A | SharesOut.: 978753 | Beta: 2.772 | Prev.Close: 6.90 | Low: N/A | MarketCap: 6753396 | VWAP: N/A | Dividend: 0.041CAD | Div.Frequency: Monthly | P/ERatio: 5.500 | EPS: 1.260000 | Yield: 7.087 | Ex-DivDate: 06/14/2018 | P/BRatio: 0.738 | Exchange: TSX | 
