CannTrust Holdings Inc. | TRST | Volume: 1502953 | Value: 7.77 | Open: 8.37 | High: 8.47 | SharesOut.: 103791513 | Beta: 7.597 | Prev.Close: 8.33 | Low: 7.58 | MarketCap: 806460056 | VWAP: 7.866075 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 37.900 | EPS: 0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 9.141 | Exchange: TSX | 
Evolve Active Short Duration Bond ETF | TIME | Volume: 440 | Value: 19.25 | Open: 19.25 | High: 19.25 | SharesOut.: 200000 | Beta: -0.131 | Prev.Close: 19.43 | Low: 19.25 | MarketCap: 3850000 | VWAP: 19.25 | Dividend: 0.070CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.364 | Ex-DivDate: 06/21/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Tech Giants Covered Call ETF | TXF | Volume: 102170 | Value: 17.03 | Open: 17.39 | High: 17.43 | SharesOut.: 16848997 | Beta: 0.907 | Prev.Close: 17.33 | Low: 17.01 | MarketCap: 286938419 | VWAP: 17.283448 | Dividend: 0.347CAD | Div.Frequency: Quarterly | P/ERatio: 25.600 | EPS: N/A | Yield: 6.318 | Ex-DivDate: 06/22/2018 | P/BRatio: 4.960 | Exchange: TSX | 
Molson Coors Canada Inc. | TPX.A | Volume: 75 | Value: 99.93 | Open: 0.00 | High: 0.00 | SharesOut.: 2878431 | Beta: 0.224 | Prev.Close: 99.93 | Low: 0.00 | MarketCap: 287641610 | VWAP: N/A | Dividend: 0.529CAD | Div.Frequency: Quarterly | P/ERatio: 7.200 | EPS: 2.900000 | Yield: 2.115 | Ex-DivDate: 06/01/2018 | P/BRatio: 1.296 | Exchange: TSX | 
PowerShares S&P/TSX Composite Low Volatility Index ETF | TLV | Volume: 4491 | Value: 27.88 | Open: 28.00 | High: 28.00 | SharesOut.: 13175000 | Beta: 0.582 | Prev.Close: 28.13 | Low: 27.86 | MarketCap: 367319000 | VWAP: 27.911667 | Dividend: 0.095CAD | Div.Frequency: Monthly | P/ERatio: 14.700 | EPS: N/A | Yield: 3.787 | Ex-DivDate: 06/27/2018 | P/BRatio: 1.570 | Exchange: TSX | 
Spin Master Corp. | TOY | Volume: 135799 | Value: 58.10 | Open: 58.84 | High: 58.90 | SharesOut.: 28129939 | Beta: 0.299 | Prev.Close: 58.87 | Low: 57.66 | MarketCap: 1634349456 | VWAP: 58.178526 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 29.600 | EPS: 2.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 8.711 | Exchange: TSX | 
TAG Oil Ltd. | TAO | Volume: 31750 | Value: 0.41 | Open: 0.405 | High: 0.42 | SharesOut.: 85282252 | Beta: 2.321 | Prev.Close: 0.40 | Low: 0.405 | MarketCap: 34965723 | VWAP: 0.416290 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 0.900 | EPS: 0.440000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.323 | Exchange: TSX | 
Tahoe Resources Inc. | THO | Volume: 566222 | Value: 6.47 | Open: 6.43 | High: 6.55 | SharesOut.: 312983761 | Beta: 2.501 | Prev.Close: 6.43 | Low: 6.32 | MarketCap: 2025004934 | VWAP: 6.468634 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 669.400 | EPS: 0.00 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.581 | Exchange: TSX | 
Taiga Building Products Ltd. | TBL | Volume: 2239 | Value: 1.60 | Open: 1.66 | High: 1.66 | SharesOut.: 116823109 | Beta: 0.591 | Prev.Close: 1.66 | Low: 1.59 | MarketCap: 186916974 | VWAP: 1.654091 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.798 | Exchange: TSX | 
Talon Metals Corp. | TLO | Volume: 133000 | Value: 0.09 | Open: 0.09 | High: 0.09 | SharesOut.: 129645201 | Beta: 1.744 | Prev.Close: 0.09 | Low: 0.09 | MarketCap: 11668068 | VWAP: 0.09 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.818 | Exchange: TSX | 
Tamarack Valley Energy Ltd. | TVE | Volume: 1731109 | Value: 4.56 | Open: 4.52 | High: 4.57 | SharesOut.: 228539381 | Beta: 3.420 | Prev.Close: 4.47 | Low: 4.52 | MarketCap: 1042139577 | VWAP: 4.550864 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.060000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.337 | Exchange: TSX | 
Tanzanian Royalty Exploration Corporation | TNX | Volume: 0 | Value: 0.55 | Open: N/A | High: N/A | SharesOut.: 122822375 | Beta: 3.032 | Prev.Close: 0.55 | Low: N/A | MarketCap: 67552306 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.964 | Exchange: TSX | 
Taseko Mines Limited | TKO | Volume: 363954 | Value: 1.40 | Open: 1.45 | High: 1.50 | SharesOut.: 228075584 | Beta: 4.764 | Prev.Close: 1.48 | Low: 1.40 | MarketCap: 319305818 | VWAP: 1.433080 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: 0.150000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.903 | Exchange: TSX | 
Taylor North American Equity Opportunities Fund | TOF.UN | Volume: 7900 | Value: 10.89 | Open: 10.87 | High: 10.89 | SharesOut.: 1290949 | Beta: 1.244 | Prev.Close: 10.80 | Low: 10.87 | MarketCap: 14058435 | VWAP: 10.889241 | Dividend: 0.052CAD | Div.Frequency: Monthly | P/ERatio: 10.600 | EPS: 2.190000 | Yield: 5.730 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.838 | Exchange: TSX | 
TD Canadian Aggregate Bond Index ETF | TDB | Volume: 5520 | Value: 14.55 | Open: 14.55 | High: 14.55 | SharesOut.: 850000 | Beta: 0.025 | Prev.Close: 14.54 | Low: 14.55 | MarketCap: 12367500 | VWAP: 14.55 | Dividend: 0.035CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.887 | Ex-DivDate: 06/27/2018 | P/BRatio: N/A | Exchange: TSX | 
