5N Plus Inc. | VNP | Volume: 11790 | Value: 3.33 | Open: 3.26 | High: 3.35 | SharesOut.: 84251041 | Beta: 0.579 | Prev.Close: 3.30 | Low: 3.26 | MarketCap: 280555967 | VWAP: 3.318718 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 19.700 | EPS: 0.170000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.914 | Exchange: TSX | 
First Asset Morningstar International Value Index ETF | VXM | Volume: 15569 | Value: 25.51 | Open: 25.69 | High: 25.70 | SharesOut.: 3083952 | Beta: 1.193 | Prev.Close: 25.67 | Low: 25.51 | MarketCap: 78671616 | VWAP: 25.666839 | Dividend: 0.127CAD | Div.Frequency: Quarterly | P/ERatio: 9.800 | EPS: N/A | Yield: 1.590 | Ex-DivDate: 06/22/2018 | P/BRatio: 0.940 | Exchange: TSX | 
Seven Generations Energy Ltd. | VII | Volume: 4570240 | Value: 14.30 | Open: 14.03 | High: 14.62 | SharesOut.: 358166030 | Beta: 2.636 | Prev.Close: 13.90 | Low: 13.95 | MarketCap: 5121774229 | VWAP: 14.363242 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 13.500 | EPS: 1.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.134 | Exchange: TSX | 
Valeant Pharmaceuticals International, Inc. | VRX | Volume: 823102 | Value: 30.51 | Open: 31.16 | High: 31.46 | SharesOut.: 348708567 | Beta: -0.626 | Prev.Close: 31.05 | Low: 30.21 | MarketCap: 10639098379 | VWAP: 30.769794 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.812 | Exchange: TSX | 
Valener Inc. | VNR | Volume: 53196 | Value: 20.38 | Open: 20.56 | High: 20.61 | SharesOut.: 39099320 | Beta: 0.276 | Prev.Close: 20.53 | Low: 20.26 | MarketCap: 796844142 | VWAP: 20.424400 | Dividend: 0.290CAD | Div.Frequency: Quarterly | P/ERatio: 17.400 | EPS: 1.12 | Yield: 5.692 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.998 | Exchange: TSX | 
Valeura Energy Inc. | VLE | Volume: 383616 | Value: 4.57 | Open: 4.55 | High: 4.65 | SharesOut.: 85662154 | Beta: 0.422 | Prev.Close: 4.52 | Low: 4.46 | MarketCap: 391476044 | VWAP: 4.541121 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.120000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.570 | Exchange: TSX | 
Vanguard Balanced ETF Portfolio | VBAL | Volume: 35259 | Value: 25.05 | Open: 25.12 | High: 25.15 | SharesOut.: 6760000 | Beta: 0.409 | Prev.Close: 25.12 | Low: 25.01 | MarketCap: 169338000 | VWAP: 25.101571 | Dividend: 0.122CAD | Div.Frequency: Quarterly | P/ERatio: 16.600 | EPS: N/A | Yield: 1.490 | Ex-DivDate: 06/22/2018 | P/BRatio: 2.000 | Exchange: TSX | 
Vanguard Canadian Aggregate Bond Index ETF | VAB | Volume: 24763 | Value: 25.19 | Open: 25.16 | High: 25.21 | SharesOut.: 65600000 | Beta: 0.041 | Prev.Close: 25.15 | Low: 25.16 | MarketCap: 1652464000 | VWAP: 25.178481 | Dividend: 0.055CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.810 | Ex-DivDate: 06/29/2018 | P/BRatio: N/A | Exchange: TSX | 
Vanguard Canadian Corporate Bond Index ETF | VCB | Volume: 77 | Value: 24.81 | Open: 0.00 | High: 0.00 | SharesOut.: 550000 | Beta: 0.040 | Prev.Close: 24.81 | Low: 0.00 | MarketCap: 13645500 | VWAP: N/A | Dividend: 0.055CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.983 | Ex-DivDate: 06/29/2018 | P/BRatio: N/A | Exchange: TSX | 
Vanguard Canadian Government Bond Index ETF | VGV | Volume: 0 | Value: 25.03 | Open: N/A | High: N/A | SharesOut.: 200000 | Beta: 0.048 | Prev.Close: 25.03 | Low: N/A | MarketCap: 5006000 | VWAP: N/A | Dividend: 0.051CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.579 | Ex-DivDate: 06/29/2018 | P/BRatio: N/A | Exchange: TSX | 
Vanguard Canadian Long-Term Bond Index ETF | VLB | Volume: 3280 | Value: 26.15 | Open: 26.10 | High: 26.15 | SharesOut.: 500000 | Beta: 0.260 | Prev.Close: 26.10 | Low: 26.10 | MarketCap: 13075000 | VWAP: 26.145313 | Dividend: 0.069CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.361 | Ex-DivDate: 06/29/2018 | P/BRatio: N/A | Exchange: TSX | 
