BMO Women in Leadership Fund | WOMN | Volume: 0 | Value: 20.53 | Open: N/A | High: N/A | SharesOut.: 100050 | Beta: N/A | Prev.Close: 20.53 | Low: N/A | MarketCap: 2054027 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 17.100 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.450 | Exchange: TSX | 
Canopy Growth Corporation | WEED | Volume: 10336799 | Value: 36.93 | Open: 39.49 | High: 40.47 | SharesOut.: 200757723 | Beta: 9.691 | Prev.Close: 41.08 | Low: 36.33 | MarketCap: 7413982710 | VWAP: 38.556746 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.150000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 7.583 | Exchange: TSX | 
First Asset Morningstar Canada Momentum Index ETF | WXM | Volume: 14136 | Value: 18.87 | Open: 18.93 | High: 18.97 | SharesOut.: 15349315 | Beta: 0.863 | Prev.Close: 18.86 | Low: 18.84 | MarketCap: 289641574 | VWAP: 18.8995 | Dividend: 0.040CAD | Div.Frequency: Quarterly | P/ERatio: 15.700 | EPS: N/A | Yield: 1.009 | Ex-DivDate: 06/22/2018 | P/BRatio: 3.110 | Exchange: TSX | 
George Weston Limited | WN | Volume: 156537 | Value: 107.67 | Open: 107.57 | High: 108.28 | SharesOut.: 127962690 | Beta: 0.429 | Prev.Close: 107.36 | Low: 106.84 | MarketCap: 13777742832 | VWAP: 107.82796 | Dividend: 0.490CAD | Div.Frequency: Quarterly | P/ERatio: 17.400 | EPS: 6.160000 | Yield: 1.820 | Ex-DivDate: 06/14/2018 | P/BRatio: 1.952 | Exchange: TSX | 
Wajax Corporation | WJX | Volume: 22566 | Value: 24.91 | Open: 24.69 | High: 25.43 | SharesOut.: 20026819 | Beta: 1.238 | Prev.Close: 24.67 | Low: 24.26 | MarketCap: 498868061 | VWAP: 24.805545 | Dividend: 0.250CAD | Div.Frequency: Quarterly | P/ERatio: 13.900 | EPS: 1.770000 | Yield: 4.014 | Ex-DivDate: 06/14/2018 | P/BRatio: 1.664 | Exchange: TSX | 
Wall Financial Corporation | WFC | Volume: 600 | Value: 28.00 | Open: 28.00 | High: 28.00 | SharesOut.: 33953365 | Beta: -0.289 | Prev.Close: 28.00 | Low: 28.00 | MarketCap: 950694220 | VWAP: 28.00 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 96.600 | EPS: 0.290000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 8.383 | Exchange: TSX | 
Wallbridge Mining Company Limited | WM | Volume: 238884 | Value: 0.065 | Open: 0.065 | High: 0.07 | SharesOut.: 324063378 | Beta: 2.210 | Prev.Close: 0.065 | Low: 0.065 | MarketCap: 21064120 | VWAP: 0.065865 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.812 | Exchange: TSX | 
Waste Connections, Inc. | WCN | Volume: 193156 | Value: 99.71 | Open: 100.98 | High: 101.00 | SharesOut.: 263467240 | Beta: 0.566 | Prev.Close: 100.73 | Low: 99.65 | MarketCap: 26270318500 | VWAP: 100.051141 | Dividend: 0.140USD | Div.Frequency: Quarterly | P/ERatio: 30.300 | EPS: 2.570000 | Yield: 0.712 | Ex-DivDate: 11/07/2017 | P/BRatio: 3.147 | Exchange: TSX | 
Wesdome Gold Mines Ltd. | WDO | Volume: 674028 | Value: 2.96 | Open: 3.06 | High: 3.07 | SharesOut.: 134206746 | Beta: 0.807 | Prev.Close: 3.06 | Low: 2.96 | MarketCap: 397251968 | VWAP: 3.011755 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 95.000 | EPS: 0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.792 | Exchange: TSX | 
West Fraser Timber Co. Ltd. | WFT | Volume: 736179 | Value: 86.85 | Open: 87.12 | High: 89.35 | SharesOut.: 73902078 | Beta: 1.122 | Prev.Close: 86.86 | Low: 86.85 | MarketCap: 6418395474 | VWAP: 87.959487 | Dividend: 0.150CAD | Div.Frequency: Quarterly | P/ERatio: 10.100 | EPS: 8.580000 | Yield: 0.691 | Ex-DivDate: 03/16/2018 | P/BRatio: 2.331 | Exchange: TSX | 
Westcoast Energy Inc. | W.PR.H | Volume: 2227 | Value: 25.09 | Open: 25.11 | High: 25.12 | SharesOut.: 6000000 | Beta: 0.325 | Prev.Close: 25.11 | Low: 25.09 | MarketCap: 150540000 | VWAP: 25.114545 | Dividend: 0.344CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: N/A | Yield: 5.480 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
